metric,value,unit
Fe_feasible_descriptor_MC,0.799,fraction
Fe_economic_top1_descriptor_MC,0.681,fraction
top1_survival_descriptor_MC,0.282,fraction
Fe_top3_actionable_descriptor_MC,0.94,fraction
P_C_Fe_lt_C_Ru_cost_MC,1.0,fraction
min_Ru_minus_Fe_cost_MC,2.3823780548685285,USD/t NH3
median_Ru_minus_Fe_cost_MC,7.110423493907968,USD/t NH3
alpha_star_p05,70.78151661985564,fold
alpha_star_median,174.26520651713287,fold
alpha_star_p95,462.0047303614388,fold
alpha_star_canonical,201.2234429878984,fold
