tier,arm,budget_CU,is_non_binding_allowance,n,k_complete_decision,p_complete_decision,ci_lo,ci_hi,narrow_window_canonical,narrow_window_fraction,decision_stable_CU_median,final_used_CU_median,overrun_CU_median,overrun_fraction_mean_per_run,final_used_CU_range,decision_stable_CU_range,final_over_D_threshold,stop_modes
strong,E,50,0,20,13,0.65,0.43285427668523624,0.818808175898918,20,1.0,47.0,49.0,1.0,0.05802940889474361,41-50,38-50,0.23786407766990292,"{""self_stop"": 20}"
strong,E,75,0,20,20,1.0,0.8388748419471806,1.0,20,1.0,52.5,70.0,3.5,0.12885574093009847,45-74,32-73,0.33980582524271846,"{""self_stop"": 20}"
strong,E,100,0,20,19,0.95,0.763868806553258,0.9911185511992047,20,1.0,71.0,81.5,13.0,0.1755269625421988,57-100,37-98,0.39563106796116504,"{""self_stop"": 20}"
strong,E,125,0,20,20,1.0,0.8388748419471806,1.0,20,1.0,79.5,111.0,12.0,0.16202367785345612,51-125,51-125,0.5388349514563107,"{""self_stop"": 20}"
strong,E,150,0,20,20,1.0,0.8388748419471806,1.0,20,1.0,102.0,124.5,0.0,0.11156212014679485,55-150,53-150,0.6043689320388349,"{""self_stop"": 20}"
strong,E,175,0,20,19,0.95,0.763868806553258,0.9911185511992047,20,1.0,124.0,163.5,2.0,0.16901632804387226,90-175,69-170,0.7936893203883495,"{""self_stop"": 20}"
strong,E,200,0,8,8,1.0,0.6755924351161198,1.0,1,0.125,189.0,189.0,0.0,0.06654676258992806,139-189,65-189,0.9174757281553398,"{""self_stop"": 8}"
strong,E,225,0,20,20,1.0,0.8388748419471806,1.0,0,0.0,218.0,218.0,0.0,0.0,216-218,216-218,1.058252427184466,"{""self_stop"": 20}"
strong,E,250,0,9,9,1.0,0.7008549515804559,1.0,0,0.0,218.0,218.0,0.0,0.014725568942436413,218-249,216-247,1.058252427184466,"{""self_stop"": 9}"
strong,E,5000,1,20,20,1.0,0.8388748419471806,1.0,0,0.0,566.0,714.0,148.0,0.3328819280097452,218-3021,218-714,3.466019417475728,"{""self_stop"": 20}"
mini,E,175,0,20,0,0.0,0.0,0.16112515805281938,0,0.0,,155.0,,,140-175,,0.7524271844660194,"{""self_stop"": 10, ""budget_exhausted"": 9, ""malformed"": 1}"
mini,E,225,0,20,6,0.3,0.1454772448676043,0.5189728183535235,0,0.0,189.0,209.5,14.0,0.06584788398934596,187-218,187-218,1.016990291262136,"{""self_stop"": 12, ""budget_exhausted"": 8}"
mini,E,300,0,20,4,0.2,0.08065766257979806,0.41601743225189364,0,0.0,216.0,293.0,0.0,0.0,189-300,189-247,1.4223300970873787,"{""self_stop"": 13, ""budget_exhausted"": 7}"
mini,E,400,0,20,7,0.35,0.18119182410108206,0.5671457233147638,0,0.0,334.0,372.0,0.0,0.0,214-397,214-391,1.8058252427184467,"{""budget_exhausted"": 12, ""self_stop"": 8}"
mini,E2,175,0,20,0,0.0,0.0,0.16112515805281938,0,0.0,,155.0,,,147-175,,0.7524271844660194,"{""budget_exhausted"": 14, ""self_stop"": 6}"
nano,E,175,0,20,0,0.0,0.0,0.16112515805281938,0,0.0,,155.0,,,155-155,,0.7524271844660194,"{""self_stop"": 11, ""budget_exhausted"": 9}"
nano,E,225,0,20,0,0.0,0.0,0.16112515805281938,0,0.0,,213.0,,,199-218,,1.0339805825242718,"{""budget_exhausted"": 11, ""self_stop"": 9}"
