category,metric,value,unit_or_note
nh3,canonical_version,NH3-FINAL-1.1,promoted 2026-09-05
nh3,atomic_top3,Ru > Os > Fe,ranking
nh3,economic_top3,Fe > Ru > Os,ranking
nh3,Fe_cost,15.292,USD/t NH3
nh3,Ru_cost,22.031,USD/t NH3
nh3,Os_cost,25.832,USD/t NH3
nh3,Ru_over_Fe_cost_ratio,1.441,dimensionless
nh3,top3_spearman_rho,-0.50,rank correlation
nh3,top3_kendall_tau,-0.33,rank correlation
nh3,full15_spearman_raw,0.929,rank correlation
nh3,full15_spearman_censored,0.684,rank correlation
nh3,Fe_feasibility,0.799,1000-draw Monte Carlo
nh3,Fe_top1_survival,0.282,probability
nh3,Fe_top3_actionable,0.940,probability
nh3,Ru_activity_break_even,201.22,fold
nh3,scaling_headroom_673K,1.090,fold
nh3,scaling_headroom_process_max,2.525,fold
nh3,strict_scaling_Ru_min_cost,21.398,USD/t NH3 at E_N=-1.215 eV
nh3,Fe_optimum,"425 C / 180 bar / 30 C",process point
nh3,Ru_optimum,"450 C / 425 bar / 25 C",process point
nh3,Os_optimum,"broad shallow high-pressure minimum",220-430 bar within 0.1 USD/t
lever,metal_recovery_reach,0.69,current NH3-FINAL-1.1
lever,catalyst_lifetime_reach,0.16,current NH3-FINAL-1.1
lever,electricity_reach_at_20_USD_MWh,0.12,weakly discriminatory / absolute-only
meoh,STY_leverage,0.00289,local economic leverage
meoh,single_pass_conversion_leverage,0.05883,local economic leverage
meoh,CH4_suppression_leverage,0.37579,local economic leverage
cross_reaction,canonical_status,REVALIDATION_REQUIRED_AFTER_NH3_FINAL_1.1,273-410 lineage traces to pre-FINAL-1.1 normalization
cross_reaction,MeOH_CH4_over_NH3_TOF_leverage_low,273,LEGACY_PRE_FINAL_1.1_NORMALIZATION; HOLD pending FINAL-1.1 revalidation
cross_reaction,MeOH_CH4_over_NH3_TOF_leverage_mid,328,LEGACY_PRE_FINAL_1.1_NORMALIZATION; HOLD pending FINAL-1.1 revalidation
cross_reaction,MeOH_CH4_over_NH3_TOF_leverage_high,410,LEGACY_PRE_FINAL_1.1_NORMALIZATION; HOLD pending FINAL-1.1 revalidation
