claim_id,manuscript_location,claim_or_metric,canonical_value,primary_source,generator_or_raw_evidence,audit_status,figure_lock
NH3_RANK_01,Results_3.1,atomic_top3,Ru > Os > Fe,data/canonical_results_2026-09-06.csv,NH3-FINAL-1.1 raw source not vendored,B,HOLD
NH3_RANK_02,Results_3.1,economic_top3,Fe > Ru > Os,data/canonical_results_2026-09-06.csv,NH3-FINAL-1.1 raw source not vendored,B,HOLD
NH3_COST_01,Results_3.1,Fe_Ru_Os_cost_USD_t,15.292 / 22.031 / 25.832,data/canonical_results_2026-09-06.csv,NH3-FINAL-1.1 raw source not vendored,B,HOLD
NH3_RHO_01,Results_3.1,Top3_Spearman,-0.50,data/canonical_results_2026-09-06.csv,NH3-FINAL-1.1 raw source not vendored,B,HOLD
NH3_RHO_02,Results_3.1,Top3_Kendall,-0.33,data/canonical_results_2026-09-06.csv,NH3-FINAL-1.1 raw source not vendored,B,HOLD
NH3_RHO_03,Results_3.1,Full15_raw_Spearman,0.929,data/canonical_results_2026-09-06.csv,NH3-FINAL-1.1 raw source not vendored,B,HOLD
NH3_MC_01,Results_3.2,Fe_feasibility,0.799,data/canonical_results_2026-09-06.csv,NH3-FINAL-1.1 MC raw source not vendored,B,HOLD
NH3_MC_02,Results_3.2,Fe_Top1_survival,0.282,data/canonical_results_2026-09-06.csv,NH3-FINAL-1.1 MC raw source not vendored,B,HOLD
NH3_MC_03,Results_3.2,Fe_Top3_actionable,0.940,data/canonical_results_2026-09-06.csv,NH3-FINAL-1.1 MC raw source not vendored,B,HOLD
NH3_BWD_01,Results_3.3,Ru_activity_break_even_fold,201.22,data/canonical_results_2026-09-06.csv,NH3-FINAL-1.1 backward-sweep raw source not vendored,B,HOLD
NH3_SCALE_01,Results_3.3,headroom_673K_fold,1.090,data/canonical_results_2026-09-06.csv,NH3-FINAL-1.1 scaling raw source not vendored,B,HOLD
NH3_SCALE_02,Results_3.3,headroom_process_max_fold,2.525,data/canonical_results_2026-09-06.csv,NH3-FINAL-1.1 scaling raw source not vendored,B,HOLD
NH3_SCALE_03,Results_3.3,strict_scaling_Ru_min_cost,21.398 USD/t at E_N=-1.215 eV,data/canonical_results_2026-09-06.csv,NH3-FINAL-1.1 scaling raw source not vendored,B,HOLD
MEOH_RANK_01,Results_3.4,upstream_to_economic_rank,1%-250 > 1%-200 > 5%-200 > 5%-250 -> 5%-200 > 1%-200 > 1%-250 > 5%-250,data/meoh/meoh_candidate_ranking_D01v3.csv,data/meoh/MeOH_D01_ExplicitRecycleSeparationEconomics_v3.0.xlsx + make_meoh_ranking_figure.py,A,LOCKABLE
MEOH_RHO_01,Results_3.4,Spearman_Kendall_inversions,0.20 / 0.00 / 3 of 6,data/meoh/meoh_candidate_ranking_D01v3.csv,data/meoh/make_meoh_ranking_figure.py,A,LOCKABLE
MEOH_LEV_01,Results_3.4,STY_conversion_CH4_leverage,0.0028943 / 0.0588278 / 0.3757939,data/meoh/meoh_candidate_ranking_D01v3.csv,frozen D01 v3 workbook,A,LOCKABLE
MEOH_PURGE_01,Results_3.4,purge_robustness,396 levels 0.5%-40%; max rho 0.40; min 2/6 inversions,data/meoh/meoh_purge_robustness_D01v3_summary.json,data/meoh/meoh_purge_robustness.py,A,LOCKABLE
CROSS_LEV_01,Results_3.5,MeOH_CH4_over_NH3_TOF_normalized_ratio,273-410; midpoint 328,data/canonical_results_2026-09-06.csv,dedicated derivation/provenance not vendored,B,HOLD
AU_RP_01,Results_3.6,V1.1_rank_preservation,2 > 3 > 4 > 5 > 6 nm; rho 1.000; tau 1.000; 0 inversions,data/rank_preservation_control_v1_1.csv,controls/au_tio2_rank_preservation_v1_1.py,A,LOCKABLE
AU_RP_02,Results_3.6,V1.1_full_preservation,10000/10000,docs/RANK_PRESERVATION_CONTROL_V1_1_RESULT.md,controls/au_tio2_rank_preservation_v1_1.py,A,LOCKABLE
AU_RP_03,Results_3.6,V1.1_6nm_over_2nm_burden,8.064x,data/rank_preservation_control_v1_1.csv,controls/au_tio2_rank_preservation_v1_1.py,A,LOCKABLE
AU_RP_04,Results_3.6,V1.3_primary_moderate,92.16% exact; mean rho 0.99214; rho>=0.9 99.98%,data/rank_preservation_semiopen_v1_3_summary.csv,data/rank_preservation_semiopen_v1_3.py,A,SUPPORTING
AGENT_V1_01,Results_3.7,V1_anonymous_full_decision,nano 6/35; mini 15/35; strong 35/35,data/cross_model_scores_2026-09-06.csv,data/cross_model_stats.py + frozen V1 hashes/traces,A,CURRENT_BUT_NEEDS_C1_TEXT
AGENT_C1_01,Results_3.7,C1_175CU_full_decision,strong 19/20; mini 0/20; nano 0/20,data/discover_boundary_c1_phase_b_summary.csv,C1 raw traces + boundary analysis,A,LOCKABLE_SUPPORTING
AGENT_C1_02,Results_3.7,C1_225CU_full_decision,strong 20/20; mini 6/20; nano 0/20,data/discover_boundary_c1_phase_b_summary.csv,C1 raw traces + boundary analysis,A,LOCKABLE_SUPPORTING
AGENT_C1_03,Results_3.7,D_fixed_VOI_completion_threshold,206 CU,data/discover_boundary_c1_phase_b_summary.csv,D frozen/reference traces,A,LOCKABLE_SUPPORTING
AGENT_C1_04,Results_3.7,narrow_window_at_175,strong 20/20; mini 4/20; nano 0/20,data/discover_boundary_c1_phase_b_summary.csv,C1 step-level traces,A,LOCKABLE_SUPPORTING
AGENT_C1_05,Results_3.7,raw_compute_above_threshold,strong E median 218 CU at 225 vs D 206 CU,data/discover_boundary_c1_phase_b_summary.csv,C1 CU_to_full reconstruction,A,LOCKABLE_SUPPORTING
