failure_mode,class,description,model,tier,variant,budget_CU,n_runs,n_failed,fraction
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-nano-2026-03-17,weak,anonymous,all,35,6,0.17142857142857143
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-nano-2026-03-17,weak,anonymous,200,5,4,0.8
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-nano-2026-03-17,weak,anonymous,250,5,1,0.2
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-nano-2026-03-17,weak,anonymous,300,5,1,0.2
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-nano-2026-03-17,weak,anonymous,500,5,0,0.0
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-nano-2026-03-17,weak,anonymous,800,5,0,0.0
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-nano-2026-03-17,weak,anonymous,1200,5,0,0.0
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-nano-2026-03-17,weak,anonymous,2000,5,0,0.0
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-nano-2026-03-17,weak,named,all,35,0,0.0
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-nano-2026-03-17,weak,named,200,5,0,0.0
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-nano-2026-03-17,weak,named,250,5,0,0.0
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-nano-2026-03-17,weak,named,300,5,0,0.0
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-nano-2026-03-17,weak,named,500,5,0,0.0
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-nano-2026-03-17,weak,named,800,5,0,0.0
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-nano-2026-03-17,weak,named,1200,5,0,0.0
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-nano-2026-03-17,weak,named,2000,5,0,0.0
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-mini-2026-03-17,medium,anonymous,all,35,4,0.11428571428571428
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-mini-2026-03-17,medium,anonymous,200,5,1,0.2
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-mini-2026-03-17,medium,anonymous,250,5,2,0.4
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-mini-2026-03-17,medium,anonymous,300,5,0,0.0
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-mini-2026-03-17,medium,anonymous,500,5,0,0.0
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-mini-2026-03-17,medium,anonymous,800,5,0,0.0
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-mini-2026-03-17,medium,anonymous,1200,5,1,0.2
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-mini-2026-03-17,medium,anonymous,2000,5,0,0.0
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-mini-2026-03-17,medium,named,all,35,3,0.08571428571428572
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.4-mini-2026-03-17,medium,named,200,5,1,0.2
