model,policy,variant,budget_CU,n,P_winner_correct,P_pair_correct,P_reachability_correct,P_full_decision_correct,n_break_even_reported,mean_break_even_rel_error,median_break_even_rel_error,n_break_even_exact,mean_spent_CU,mean_CU_to_first_correct,n_first_correct,mean_CU_to_stable_correct,n_stable_correct,mean_unnecessary_CU_fraction,mean_regret_USD_t,mean_stopping_efficiency,mean_action_errors,mean_steps,mean_tokens
baseline,A_random,anonymous,200,20,0.15,0.0,0.0,0.0,0,,,0,191.35,164.33333333333334,3,164.33333333333334,3,0.31969860959268914,602.2549028980458,0.8466188953808841,0.0,8.55,
baseline,A_random,anonymous,250,20,0.15,0.0,0.0,0.0,0,,,0,243.8,164.33333333333334,3,164.33333333333334,3,0.4057194500295583,453.26573641472424,0.6677535014005603,0.0,10.95,
baseline,A_random,anonymous,300,20,0.2,0.05,0.0,0.0,0,,,0,295.3,187.25,4,187.25,4,0.46333261072782694,254.27656993140272,0.6317569110206096,0.0,13.4,
baseline,A_random,anonymous,500,20,0.7,0.35,0.05,0.05,4,9.887116682761115e-16,9.887116682761115e-16,4,497.15,342.35714285714283,14,342.35714285714283,14,0.5312366818791585,2.401787280189145,0.6878261436373764,0.0,21.0,
baseline,A_random,anonymous,800,20,0.85,0.65,0.2,0.2,8,9.887116682761115e-16,9.887116682761115e-16,8,786.35,465.8235294117647,17,465.8235294117647,17,0.48317473474613537,1.01083351667848,0.5898868460905693,0.0,26.35,
baseline,A_random,anonymous,1200,20,0.95,0.85,0.65,0.65,17,9.887116682761115e-16,9.887116682761115e-16,17,1125.65,528.578947368421,19,528.578947368421,19,0.42445628708739935,0.3369445055594934,0.4735384812124576,0.0,33.25,
baseline,A_random,anonymous,2000,20,0.95,0.95,0.85,0.85,19,9.887116682761115e-16,9.887116682761115e-16,19,1642.25,528.578947368421,19,528.578947368421,19,0.386040110973091,0.3369445055594934,0.34599547902214434,0.0,41.35,
baseline,A_random,named,200,20,0.15,0.05,0.05,0.05,1,9.887116682761115e-16,9.887116682761115e-16,1,191.05,164.66666666666666,3,164.66666666666666,3,0.32701822106354944,701.3909537635107,0.866021094744499,0.0,8.2,
baseline,A_random,named,250,20,0.2,0.05,0.05,0.05,1,9.887116682761115e-16,9.887116682761115e-16,1,244.55,184.75,4,184.75,4,0.41995975733927116,502.59184740360524,0.7451346850817906,0.0,11.1,
baseline,A_random,named,300,20,0.3,0.1,0.0,0.0,1,9.887116682761115e-16,9.887116682761115e-16,1,295.05,227.66666666666666,6,227.66666666666666,6,0.4889373057416617,204.3197456726754,0.7729352944800478,0.0,13.55,
baseline,A_random,named,500,20,0.55,0.3,0.1,0.1,3,9.887116682761115e-16,9.887116682761115e-16,3,496.55,302.54545454545456,11,302.54545454545456,11,0.5485363328176792,53.07567629130813,0.6076485806108094,0.0,19.35,
baseline,A_random,named,800,20,0.75,0.5,0.2,0.2,6,9.887116682761115e-16,9.887116682761115e-16,6,795.05,427.73333333333335,15,427.73333333333335,15,0.5285147557975683,2.0648427746296516,0.5390313283036011,0.0,25.4,
baseline,A_random,named,1200,20,0.9,0.8,0.5,0.5,13,9.887116682761115e-16,9.887116682761115e-16,13,1181.35,567.4444444444445,18,567.4444444444445,18,0.44829688829313835,0.6738890111189868,0.47924449667732777,0.0,32.55,
baseline,A_random,named,2000,20,1.0,0.9,0.85,0.85,18,9.887116682761115e-16,9.887116682761115e-16,18,1735.95,689.8,20,689.8,20,0.41098174727871745,0.0,0.3954577957609366,0.0,40.15,
baseline,B_activity_first,anonymous,200,1,0.0,0.0,0.0,0.0,0,,,0,184.0,,0,,0,0.15760869565217392,6.738890111189868,,0.0,6.0,
baseline,B_activity_first,anonymous,250,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,219.0,213.0,1,213.0,1,0.1324200913242009,0.0,0.9726027397260274,0.0,10.0,
baseline,B_activity_first,anonymous,300,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,269.0,213.0,1,213.0,1,0.10780669144981413,0.0,0.79182156133829,0.0,11.0,
baseline,B_activity_first,anonymous,500,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,369.0,213.0,1,213.0,1,0.2140921409214092,0.0,0.5772357723577236,0.0,13.0,
baseline,B_activity_first,anonymous,800,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,369.0,213.0,1,213.0,1,0.2140921409214092,0.0,0.5772357723577236,0.0,13.0,
baseline,B_activity_first,anonymous,1200,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,369.0,213.0,1,213.0,1,0.2140921409214092,0.0,0.5772357723577236,0.0,13.0,
baseline,B_activity_first,anonymous,2000,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,369.0,213.0,1,213.0,1,0.2140921409214092,0.0,0.5772357723577236,0.0,13.0,
baseline,B_activity_first,named,200,1,0.0,0.0,0.0,0.0,0,,,0,184.0,,0,,0,0.15760869565217392,6.738890111189868,,0.0,6.0,
baseline,B_activity_first,named,250,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,219.0,213.0,1,213.0,1,0.1324200913242009,0.0,0.9726027397260274,0.0,10.0,
baseline,B_activity_first,named,300,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,269.0,213.0,1,213.0,1,0.10780669144981413,0.0,0.79182156133829,0.0,11.0,
baseline,B_activity_first,named,500,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,369.0,213.0,1,213.0,1,0.2140921409214092,0.0,0.5772357723577236,0.0,13.0,
baseline,B_activity_first,named,800,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,369.0,213.0,1,213.0,1,0.2140921409214092,0.0,0.5772357723577236,0.0,13.0,
baseline,B_activity_first,named,1200,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,369.0,213.0,1,213.0,1,0.2140921409214092,0.0,0.5772357723577236,0.0,13.0,
baseline,B_activity_first,named,2000,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,369.0,213.0,1,213.0,1,0.2140921409214092,0.0,0.5772357723577236,0.0,13.0,
baseline,C_uncertainty_first,anonymous,200,1,1.0,0.0,0.0,0.0,0,,,0,172.0,155.0,1,155.0,1,0.0,0.0,0.9011627906976745,0.0,6.0,
baseline,C_uncertainty_first,anonymous,250,1,1.0,0.0,0.0,0.0,0,,,0,230.0,155.0,1,155.0,1,0.25217391304347825,0.0,0.6739130434782609,0.0,8.0,
baseline,C_uncertainty_first,anonymous,300,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,293.0,155.0,1,155.0,1,0.29692832764505117,0.0,0.5290102389078498,0.0,12.0,
baseline,C_uncertainty_first,anonymous,500,1,1.0,1.0,0.0,0.0,1,9.887116682761115e-16,9.887116682761115e-16,1,500.0,155.0,1,155.0,1,0.266,0.0,0.31,0.0,15.0,
baseline,C_uncertainty_first,anonymous,800,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,798.0,155.0,1,155.0,1,0.3508771929824561,0.0,0.19423558897243107,0.0,16.0,
baseline,C_uncertainty_first,anonymous,1200,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,1059.0,155.0,1,155.0,1,0.5108593012275732,0.0,0.14636449480642116,0.0,25.0,
baseline,C_uncertainty_first,anonymous,2000,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,1059.0,155.0,1,155.0,1,0.5108593012275732,0.0,0.14636449480642116,0.0,25.0,
baseline,C_uncertainty_first,named,200,1,1.0,0.0,0.0,0.0,0,,,0,172.0,155.0,1,155.0,1,0.0,0.0,0.9011627906976745,0.0,6.0,
baseline,C_uncertainty_first,named,250,1,1.0,0.0,0.0,0.0,0,,,0,230.0,155.0,1,155.0,1,0.25217391304347825,0.0,0.6739130434782609,0.0,8.0,
baseline,C_uncertainty_first,named,300,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,293.0,155.0,1,155.0,1,0.29692832764505117,0.0,0.5290102389078498,0.0,12.0,
baseline,C_uncertainty_first,named,500,1,1.0,1.0,0.0,0.0,1,9.887116682761115e-16,9.887116682761115e-16,1,500.0,155.0,1,155.0,1,0.266,0.0,0.31,0.0,15.0,
baseline,C_uncertainty_first,named,800,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,798.0,155.0,1,155.0,1,0.3508771929824561,0.0,0.19423558897243107,0.0,16.0,
baseline,C_uncertainty_first,named,1200,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,1059.0,155.0,1,155.0,1,0.5108593012275732,0.0,0.14636449480642116,0.0,25.0,
baseline,C_uncertainty_first,named,2000,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,1059.0,155.0,1,155.0,1,0.5108593012275732,0.0,0.14636449480642116,0.0,25.0,
baseline,D_fixed_voi,anonymous,200,1,1.0,0.0,0.0,0.0,0,,,0,193.0,155.0,1,155.0,1,0.0,0.0,0.8031088082901554,0.0,12.0,
baseline,D_fixed_voi,anonymous,250,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,247.0,155.0,1,155.0,1,0.11740890688259109,0.0,0.6275303643724697,0.0,15.0,
baseline,D_fixed_voi,anonymous,300,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,281.0,155.0,1,155.0,1,0.10320284697508897,0.0,0.5516014234875445,0.0,17.0,
baseline,D_fixed_voi,anonymous,500,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,281.0,155.0,1,155.0,1,0.10320284697508897,0.0,0.5516014234875445,0.0,17.0,
