section,variant,tier,stratum,metric,k,n,p,ci_lo,ci_hi,pair,k1,n1,k2,n2,Z,counts,term,beta,se,OR,mean,median,budget,criterion,wins_of_5,D_value,tiers,n_tiers,go
wilson,anonymous,nano,pooled,P(full),6,35,0.17142857142857143,0.08102640006436056,0.3268228243870004,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,pooled,P(win),29,35,0.8285714285714286,0.6731771756129996,0.9189735999356394,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,pooled,P(pair),24,35,0.6857142857142857,0.5202023625560437,0.8144915540584046,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,pooled,P(reach),6,35,0.17142857142857143,0.08102640006436056,0.3268228243870004,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,<=300 CU,P(full),0,15,0.0,0.0,0.20388330359648707,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,<=300 CU,P(win),9,15,0.6,0.35746829954344506,0.8017550397372577,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,<=300 CU,P(pair),4,15,0.26666666666666666,0.1089745324961737,0.5195043425155202,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,<=300 CU,P(reach),0,15,0.0,0.0,0.20388330359648707,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,>=500 CU,P(full),6,20,0.3,0.14547724402157294,0.518972820052479,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,>=500 CU,P(win),20,20,1.0,0.8388748398148705,1.0,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,>=500 CU,P(pair),20,20,1.0,0.8388748398148705,1.0,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,>=500 CU,P(reach),6,20,0.3,0.14547724402157294,0.518972820052479,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,200 CU,P(full),0,5,0.0,0.0,0.43448246865939283,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,200 CU,P(win),1,5,0.2,0.03622410822563066,0.6244653729700049,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,200 CU,P(pair),0,5,0.0,0.0,0.43448246865939283,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,200 CU,P(reach),0,5,0.0,0.0,0.43448246865939283,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,250 CU,P(full),0,5,0.0,0.0,0.43448246865939283,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,250 CU,P(win),4,5,0.8,0.375534627029995,0.9637758917743693,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,250 CU,P(pair),1,5,0.2,0.03622410822563066,0.6244653729700049,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,250 CU,P(reach),0,5,0.0,0.0,0.43448246865939283,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,300 CU,P(full),0,5,0.0,0.0,0.43448246865939283,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,300 CU,P(win),4,5,0.8,0.375534627029995,0.9637758917743693,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,300 CU,P(pair),3,5,0.6,0.23072427940911855,0.8823792268590028,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,300 CU,P(reach),0,5,0.0,0.0,0.43448246865939283,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,500 CU,P(full),3,5,0.6,0.23072427940911855,0.8823792268590028,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,500 CU,P(win),5,5,1.0,0.5655175313406071,1.0,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,500 CU,P(pair),5,5,1.0,0.5655175313406071,1.0,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,500 CU,P(reach),3,5,0.6,0.23072427940911855,0.8823792268590028,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,800 CU,P(full),0,5,0.0,0.0,0.43448246865939283,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,800 CU,P(win),5,5,1.0,0.5655175313406071,1.0,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,800 CU,P(pair),5,5,1.0,0.5655175313406071,1.0,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,800 CU,P(reach),0,5,0.0,0.0,0.43448246865939283,,,,,,,,,,,,,,,,,,,,
wilson,anonymous,nano,1200 CU,P(full),0,5,0.0,0.0,0.43448246865939283,,,,,,,,,,,,,,,,,,,,
