tier,arm,budget_CU,n,k_winner,k_pair,k_reachability,k_complete_decision,k_built_window,k_ran_BACKWARD,k_ran_TEST_REACHABILITY,no_tool_call_turns,validation_rejections
strong,E,50,20,20,20,13,13,20,19,13,12,0
strong,E,75,20,20,20,20,20,20,20,20,6,0
strong,E,100,20,20,20,19,19,20,20,20,11,0
strong,E,125,20,20,20,20,20,20,20,20,6,0
strong,E,150,20,20,20,20,20,20,20,20,9,0
strong,E,175,20,20,20,19,19,20,20,19,11,0
strong,E,200,8,8,8,8,8,8,8,8,2,0
strong,E,225,20,20,20,20,20,20,20,20,7,0
strong,E,250,9,9,9,9,9,9,9,9,3,0
strong,E,5000,20,20,20,20,20,20,20,20,9,0
mini,E,175,20,14,0,0,0,20,0,0,16,0
mini,E2,175,20,19,0,0,0,20,0,0,4,0
mini,E,225,20,14,7,6,6,20,7,8,14,0
mini,E,300,20,17,10,4,4,20,7,6,9,0
mini,E,400,20,11,9,7,7,20,7,7,8,0
nano,E,175,20,0,0,0,0,20,0,0,9,0
nano,E,225,20,9,6,0,0,20,1,1,3,0
