tier,arm,budget_CU,n,k_full,decision_stable_CU_median,quote_inflation_CU_max,decision_stable_CU_range,final_used_CU_median,final_used_CU_range,overrun_CU_median,overrun_CU_range,overrun_fraction_mean,stop_modes
strong,E,75.0,20,20,52.5,4.0,32-73,70.0,45-74,3.5,0-23,0.12885574093009847,"{""self_stop"": 20}"
strong,E,100.0,20,19,71.0,6.0,37-98,81.5,57-100,13.0,0-46,0.1755269625421988,"{""self_stop"": 20}"
strong,E,125.0,20,20,79.5,15.0,51-125,111.0,51-125,12.0,0-65,0.16202367785345612,"{""self_stop"": 20}"
strong,E,150.0,20,20,102.0,19.0,53-150,124.5,55-150,0.0,0-72,0.11156212014679485,"{""self_stop"": 20}"
strong,E,175.0,20,19,124.0,16.0,69-170,163.5,90-175,2.0,0-101,0.16901632804387226,"{""self_stop"": 20}"
strong,E,200.0,8,8,189.0,0.0,65-189,189.0,139-189,0.0,0-74,0.06654676258992806,"{""self_stop"": 8}"
strong,E,225.0,20,20,218.0,0.0,216-218,218.0,216-218,0.0,0-0,0.0,"{""self_stop"": 20}"
strong,E,250.0,9,9,218.0,0.0,216-247,218.0,218-249,0.0,0-33,0.014725568942436413,"{""self_stop"": 9}"
strong,E,5000.0,20,20,566.0,0.0,218-714,714.0,218-3021,148.0,0-2455,0.3328819280097452,"{""self_stop"": 20}"
mini,E,175.0,20,0,,,,155.0,140-175,,,,"{""self_stop"": 10, ""budget_exhausted"": 9, ""malformed"": 1}"
mini,E2,175.0,20,0,,,,155.0,147-175,,,,"{""budget_exhausted"": 14, ""self_stop"": 6}"
mini,E,225.0,20,6,189.0,0.0,187-218,209.5,187-218,14.0,0-29,0.06584788398934596,"{""self_stop"": 12, ""budget_exhausted"": 8}"
mini,E,300.0,20,4,216.0,0.0,189-247,293.0,189-300,0.0,0-0,0.0,"{""self_stop"": 13, ""budget_exhausted"": 7}"
mini,E,400.0,20,7,334.0,58.0,214-391,372.0,214-397,0.0,0-0,0.0,"{""budget_exhausted"": 12, ""self_stop"": 8}"
nano,E,175.0,20,0,,,,155.0,155-155,,,,"{""self_stop"": 11, ""budget_exhausted"": 9}"
nano,E,225.0,20,0,,,,213.0,199-218,,,,"{""budget_exhausted"": 11, ""self_stop"": 9}"
