family,trace_dir,model,response_model,policy,variant,budget_CU,run_index,started_utc,finished_utc,steps,spent_CU,winner,winner_correct,pair_decision_correct,reachability_correct,full_decision_correct,CU_to_first_correct_winner,CU_to_stable_correct_winner,CU_to_full_decision,unnecessary_CU_fraction,decision_regret_USD_t,break_even_estimate,break_even_rel_error,action_errors,infra_retries,malformed_turns,tokens_prompt,tokens_completion,why_stop,narrow_window_built,failure_taxonomy,error_kinds,n_api_requests,ran_backward,ran_reachability,phase
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r0_c1_20260910T033227Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,0,20260910T033227Z,2026-09-10T03:32:45.148471+00:00,5,140.0,Fe,1,0,0,0,140.0,140.0,,0.0,0.0,,,2,0,3,37525,1810,"agent STOP: User requested STOP or exactly one tool. I am stopping with the best available optimized candidate found so far, but the result is incomplete because only one candidate was optimized and the activity/parity/reachability checks were not performed.",0,pair_unresolved (decision pair not both optimized / wrong order),"{""INSPECT_CANDIDATES: invalid/undeclared argument"": 2}",8,0,0,B
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r1_c1_20260910T033247Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,1,20260910T033247Z,2026-09-10T03:33:17.492364+00:00,10,157.0,Fe,1,0,0,0,155.0,155.0,,0.0,0.0,,,3,0,2,83442,4427,"agent STOP: I have a feasible lowest-cost candidate, but the exact parity/reachability chain for the highest-activity candidate is incomplete, and budget-constrained actions remaining are unlikely to change the industrial decision.",0,pair_unresolved (decision pair not both optimized / wrong order),"{""INSPECT_CANDIDATES: invalid/undeclared argument"": 1, ""OPTIMIZE_PROCESS: unaffordable (BudgetExceeded)"": 1, ""BACKWARD: precondition (e.g. BACKWARD before optimization)"": 1}",12,0,0,B
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r2_c1_20260910T033319Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,2,20260910T033319Z,2026-09-10T03:33:28.977895+00:00,8,169.0,,0,0,0,0,,,,0.3431952662721893,inf,,,4,0,0,16477,1018,budget_exhausted (3 consecutive unaffordable actions),0,no_winner,"{""INSPECT_CANDIDATES: invalid/undeclared argument"": 1, ""OPTIMIZE_PROCESS: unaffordable (BudgetExceeded)"": 3}",4,0,0,B
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r3_c1_20260910T033331Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,3,20260910T033331Z,2026-09-10T03:33:51.617052+00:00,6,155.0,Fe,1,0,0,0,155.0,155.0,,0.0,0.0,,,2,0,0,28238,2733,agent STOP: Budget exhaustion prevents optimizing the only remaining plausible challenger candidate_04. No affordable action now can compute the required parity/reachability classification or a definitive exact dominance check for the unresolved challenger. On current evidence candidate_13 is the industrial can,1,pair_unresolved (decision pair not both optimized / wrong order),"{""INSPECT_CANDIDATES: invalid/undeclared argument"": 1, ""OPTIMIZE_PROCESS: unaffordable (BudgetExceeded)"": 1}",6,0,0,B
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r4_c1_20260910T033354Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,4,20260910T033354Z,2026-09-10T03:34:22.499132+00:00,9,155.0,Fe,1,0,0,0,155.0,155.0,,0.0,0.0,,,4,0,2,67329,3219,"agent STOP: Remaining budget (20 CU) is below the 29 CU required for any further OPTIMIZE_PROCESS call, and the outstanding parity/reachability analysis cannot be completed without optimizing the highest-activity competitor. The decision is stable on the available evidence: candidate_13 is the only optimized fe",1,pair_unresolved (decision pair not both optimized / wrong order),"{""INSPECT_CANDIDATES: invalid/undeclared argument"": 1, ""OPTIMIZE_PROCESS: unaffordable (BudgetExceeded)"": 1, ""BACKWARD: precondition (e.g. BACKWARD before optimization)"": 1, ""TEST_REACHABILITY: invalid/undeclared argument"": 1}",11,0,0,B
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r5_c1_20260910T033425Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,5,20260910T033425Z,2026-09-10T03:34:44.285508+00:00,6,155.0,Fe,1,0,0,0,155.0,155.0,,0.0,0.0,,,1,0,2,46723,2614,"agent STOP: A feasible optimized industrial candidate has been identified, but exact dominance/parity/reachability for the highest-activity rival cannot be completed within the remaining budget. No affordable action now has meaningful decision value for changing the industrial recommendation.",0,pair_unresolved (decision pair not both optimized / wrong order),"{""OPTIMIZE_PROCESS: unaffordable (BudgetExceeded)"": 1}",8,0,0,B
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r6_c1_20260910T033446Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,6,20260910T033446Z,2026-09-10T03:34:56.187631+00:00,8,169.0,,0,0,0,0,,,,0.3431952662721893,inf,,,4,0,0,16815,1194,budget_exhausted (3 consecutive unaffordable actions),0,no_winner,"{""INSPECT_CANDIDATES: invalid/undeclared argument"": 1, ""OPTIMIZE_PROCESS: unaffordable (BudgetExceeded)"": 3}",4,0,0,B
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r7_c1_20260910T033458Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,7,20260910T033458Z,2026-09-10T03:35:09.381687+00:00,14,155.0,Fe,1,0,0,0,155.0,155.0,,0.0,0.0,,,11,0,0,27302,1202,budget_exhausted (3 consecutive unaffordable actions),0,pair_unresolved (decision pair not both optimized / wrong order),"{""INSPECT_CANDIDATES: invalid/undeclared argument"": 2, ""OPTIMIZE_PROCESS: precondition (e.g. BACKWARD before optimization)"": 6, ""OPTIMIZE_PROCESS: unaffordable (BudgetExceeded)"": 3}",6,0,0,B
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r8_c1_20260910T033511Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,8,20260910T033511Z,2026-09-10T03:35:31.096793+00:00,8,155.0,,0,0,0,0,,,,0.1870967741935484,inf,,,2,0,0,47396,2643,"agent STOP: No feasible optimized candidate has been identified yet, and the remaining budget is insufficient for direct optimization of any additional candidate under the observed tool cost (29 CU per OPTIMIZE_PROCESS). The only optimized candidate checked so far, candidate_01, is infeasible due to bed-cap vio",0,no_winner,"{""INSPECT_CANDIDATES: invalid/undeclared argument"": 1, ""OPTIMIZE_PROCESS: unaffordable (BudgetExceeded)"": 1}",8,0,0,B
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r9_c1_20260910T033534Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,9,20260910T033534Z,2026-09-10T03:36:05.317441+00:00,7,169.0,Fe,1,0,0,0,140.0,140.0,,0.17159763313609466,0.0,,,3,0,1,41702,3605,"agent STOP: Budget remaining is insufficient for another high-value decisive optimization. The remaining affordable actions cannot complete the required parity/reachability check because the highest-activity candidate has not been identified, and attempting more optimizations is not affordable at the nominal co",0,pair_unresolved (decision pair not both optimized / wrong order),"{""INSPECT_CANDIDATES: invalid/undeclared argument"": 1, ""OPTIMIZE_PROCESS: precondition (e.g. BACKWARD before optimization)"": 1, ""OPTIMIZE_PROCESS: unaffordable (BudgetExceeded)"": 1}",8,0,0,B
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r10_c1_20260910T033608Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,10,20260910T033608Z,2026-09-10T03:36:13.297364+00:00,9,175.0,Fe,1,0,0,0,146.0,146.0,,0.1657142857142857,0.0,,,3,0,0,12847,295,budget_exhausted (3 consecutive unaffordable actions),1,pair_unresolved (decision pair not both optimized / wrong order),"{""OPTIMIZE_PROCESS: unaffordable (BudgetExceeded)"": 3}",3,0,0,B
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r11_c1_20260910T033615Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,11,20260910T033615Z,2026-09-10T03:36:50.328230+00:00,9,157.0,Fe,1,0,0,0,155.0,155.0,,0.0,0.0,,,3,0,2,75242,4399,"agent STOP: The industrial winner is identified and feasible. The remaining unresolved candidates cannot be optimized with the available budget because OPTIMIZE_PROCESS costs 29 CU, exceeding the remaining budget. No affordable action is expected to change the industrial decision.",0,pair_unresolved (decision pair not both optimized / wrong order),"{""OPTIMIZE_PROCESS: unaffordable (BudgetExceeded)"": 1, ""BACKWARD: precondition (e.g. BACKWARD before optimization)"": 1, ""TEST_REACHABILITY: invalid/undeclared argument"": 1}",11,0,0,B
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r12_c1_20260910T033653Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,12,20260910T033653Z,2026-09-10T03:37:05.581726+00:00,7,155.0,Fe,1,0,0,0,155.0,155.0,,0.0,0.0,,,3,0,0,19597,1890,budget_exhausted (3 consecutive unaffordable actions),1,pair_unresolved (decision pair not both optimized / wrong order),"{""OPTIMIZE_PROCESS: unaffordable (BudgetExceeded)"": 3}",4,0,0,B
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r13_c1_20260910T033707Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,13,20260910T033707Z,2026-09-10T03:37:29.407984+00:00,6,175.0,Fe,1,0,0,0,146.0,146.0,,0.1657142857142857,0.0,,,0,0,1,39027,2629,agent STOP: Budget exhausted; STOP is the only valid allowed action.,0,pair_unresolved (decision pair not both optimized / wrong order),{},7,0,0,B
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r14_c1_20260910T033731Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,14,20260910T033731Z,2026-09-10T03:37:52.091066+00:00,7,155.0,Fe,1,0,0,0,155.0,155.0,,0.0,0.0,,,2,0,0,39742,2827,agent STOP: The current feasible optimized candidate is identified and further exact analyses required by the stopping rule are not affordable under the remaining budget in this execution environment; additional tool calls returned budget-exceeded.,0,pair_unresolved (decision pair not both optimized / wrong order),"{""OPTIMIZE_PROCESS: unaffordable (BudgetExceeded)"": 1, ""CHECK_MODEL_VALIDITY: unaffordable (BudgetExceeded)"": 1}",7,0,0,B
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r15_c1_20260910T033754Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,15,20260910T033754Z,2026-09-10T03:38:07.868097+00:00,9,155.0,,0,0,0,0,,,,0.1870967741935484,inf,,,5,0,0,28396,1731,budget_exhausted (3 consecutive unaffordable actions),0,no_winner,"{""INSPECT_CANDIDATES: invalid/undeclared argument"": 2, ""OPTIMIZE_PROCESS: unaffordable (BudgetExceeded)"": 3}",6,0,0,B
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r16_c1_20260910T033810Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,16,20260910T033810Z,2026-09-10T03:38:35.124304+00:00,5,155.0,Ru,0,0,0,0,,,,0.0,6.738890111189868,,,1,0,3,47824,3388,malformed_action_limit (no tool call after reminders),0,wrong_winner,"{""INSPECT_CANDIDATES: invalid/undeclared argument"": 1}",8,0,0,B
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r17_c1_20260910T033838Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,17,20260910T033838Z,2026-09-10T03:38:50.337407+00:00,13,169.0,Fe,1,0,0,0,140.0,140.0,,0.17159763313609466,0.0,,,9,0,0,20833,1552,budget_exhausted (3 consecutive unaffordable actions),0,pair_unresolved (decision pair not both optimized / wrong order),"{""OPTIMIZE_PROCESS: precondition (e.g. BACKWARD before optimization)"": 6, ""OPTIMIZE_PROCESS: unaffordable (BudgetExceeded)"": 3}",4,0,0,B
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.4-mini-2026-03-17\traces\anonymous\E_llm_agent_anonymous_B175_r18_c1_20260910T033852Z,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,175.0,18,20260910T033852Z,2026-09-10T03:38:59.712483+00:00,10,155.0,Fe,1,0,0,0,155.0,155.0,,0.0,0.0,,,6,0,0,22558,455,budget_exhausted (3 consecutive unaffordable actions),0,pair_unresolved (decision pair not both optimized / wrong order),"{""INSPECT_CANDIDATES: invalid/undeclared argument"": 1, ""RUN_MC: precondition (e.g. BACKWARD before optimization)"": 1, ""CHECK_MODEL_VALIDITY: precondition (e.g. BACKWARD before optimization)"": 1, ""OPTIMIZE_PROCESS: unaffordable (BudgetExceeded)"": 3}",5,0,0,B
