family,trace_dir,model,response_model,policy,variant,budget_CU,run_index,started_utc,finished_utc,steps,spent_CU,winner,winner_correct,pair_decision_correct,reachability_correct,full_decision_correct,CU_to_first_correct_winner,CU_to_stable_correct_winner,CU_to_full_decision,unnecessary_CU_fraction,decision_regret_USD_t,break_even_estimate,break_even_rel_error,action_errors,infra_retries,malformed_turns,tokens_prompt,tokens_completion,why_stop,narrow_window_built
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.5-2026-04-23\traces\anonymous\E_llm_agent_anonymous_B150_r0_c1_20260909T123910Z,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,E_llm_agent,anonymous,150.0,0,20260909T123910Z,2026-09-09T12:40:28.028214+00:00,14,150.0,Fe,1,1,1,1,141.0,141.0,150.0,0.02,0.0,157.28990952402782,0.21833208303921503,0,0,1,57107,8474,"agent STOP: Budget exhausted; model stopping status indicated may_stop=true after S1 feasible winner, S2 no unresolved candidates, and S3 parity/reachability classification completed.",1
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.5-2026-04-23\traces\anonymous\E_llm_agent_anonymous_B150_r1_c1_20260909T124030Z,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,E_llm_agent,anonymous,150.0,1,20260909T124030Z,2026-09-09T12:42:27.684989+00:00,31,102.0,Fe,1,1,1,1,65.0,65.0,102.0,0.4215686274509804,0.0,201.22344298781383,4.2034370354138686e-13,1,0,0,103838,11823,"agent STOP: Stopping rule satisfied: feasible optimized winner identified, all candidates optimized or screened by the declared rule, and parity/reachability for the highest-activity nonwinner has been completed.",1
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.5-2026-04-23\traces\anonymous\E_llm_agent_anonymous_B150_r2_c1_20260909T124230Z,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,E_llm_agent,anonymous,150.0,2,20260909T124230Z,2026-09-09T12:44:28.193950+00:00,22,128.0,Fe,1,1,1,1,61.0,61.0,128.0,0.125,0.0,4.679578955527338,0.9767443649405761,0,0,0,85379,11744,agent STOP: S1-S3 satisfied; remaining affordable actions have low expected decision value and higher-value MC/formal validity checks are unaffordable.,1
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.5-2026-04-23\traces\anonymous\E_llm_agent_anonymous_B150_r3_c1_20260909T124430Z,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,E_llm_agent,anonymous,150.0,3,20260909T124430Z,2026-09-09T12:46:58.287089+00:00,21,120.0,Fe,1,1,1,1,38.0,38.0,53.0,0.06666666666666667,0.0,157.28990952402782,0.21833208303921503,0,0,0,149501,14785,agent STOP: Stopping rule satisfied: feasible incumbent exists; all other candidates are optimized if decision-relevant or screened dominated; highest-activity candidate parity and frozen-manifold reachability are classified; remaining affordable actions have low expected decision value and are unlikely to chan,1
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.5-2026-04-23\traces\anonymous\E_llm_agent_anonymous_B150_r4_c1_20260909T124700Z,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,E_llm_agent,anonymous,150.0,4,20260909T124700Z,2026-09-09T12:49:32.955016+00:00,20,116.0,Fe,1,1,1,1,43.0,43.0,134.0,-0.034482758620689655,0.0,201.22344298790065,1.1158317399116116e-14,0,0,1,116395,14788,agent STOP: Stopping rule satisfied: S1 feasible optimized lowest-cost candidate exists; S2 all candidates are either optimized challengers or screened by lower reference activity and higher price versus candidate_13; S3 highest-activity candidate candidate_04 differs from the industrial choice and BACKWARD plu,1
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.5-2026-04-23\traces\anonymous\E_llm_agent_anonymous_B150_r5_c1_20260909T124935Z,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,E_llm_agent,anonymous,150.0,5,20260909T124935Z,2026-09-09T12:51:27.901529+00:00,29,135.0,Fe,1,1,1,1,64.0,64.0,141.0,0.31851851851851853,0.0,201.2234429878986,9.887116682761115e-16,0,0,1,108408,10542,agent STOP: Stopping rule satisfied: S1 candidate_13 is feasible and lowest-cost among optimized candidates; S2 no unresolved candidates remain after all candidates were optimized in target_mid and feasible/plausible contenders were reoptimized in expanded_top; S3 completed because candidate_04 is highest-activ,1
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.5-2026-04-23\traces\anonymous\E_llm_agent_anonymous_B150_r6_c1_20260909T125130Z,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,E_llm_agent,anonymous,150.0,6,20260909T125130Z,2026-09-09T12:53:09.283647+00:00,14,98.0,Fe,1,1,1,1,61.0,61.0,98.0,0.10204081632653061,0.0,201.2234429878986,9.887116682761115e-16,0,0,0,78095,11069,agent STOP: Stopping rule satisfied: S1 feasible optimized current lowest-cost candidate exists; S2 no unresolved candidate remains because all nonscreened competitors were optimized and the rest are screened by lower reference activity plus higher metal price; S3 highest-activity parity and reachability were e,1
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.5-2026-04-23\traces\anonymous\E_llm_agent_anonymous_B175_r0_c1_20260909T123910Z,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,E_llm_agent,anonymous,175.0,0,20260909T123910Z,2026-09-09T12:42:16.989516+00:00,39,172.0,Fe,1,1,1,1,63.0,63.0,74.0,0.21511627906976744,0.0,157.28990952402782,0.21833208303921503,1,0,0,135015,19075,agent STOP: ,1
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.5-2026-04-23\traces\anonymous\E_llm_agent_anonymous_B175_r1_c1_20260909T124219Z,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,E_llm_agent,anonymous,175.0,1,20260909T124219Z,2026-09-09T12:44:26.199293+00:00,17,95.0,Fe,1,1,1,1,52.0,52.0,95.0,0.08421052631578947,0.0,201.22344298790065,1.1158317399116116e-14,0,0,1,97388,12759,agent STOP: Stopping rule satisfied: S1 feasible optimized lowest-cost candidate exists; S2 no unresolved candidates remain because candidate_04 and candidate_05 were optimized and all others are screened by the declared dominance rule; S3 completed with BACKWARD and TEST_REACHABILITY for highest-activity candi,1
C1,DISCOVER_BOUNDARY_C1\runs\gpt-5.5-2026-04-23\traces\anonymous\E_llm_agent_anonymous_B175_r2_c1_20260909T124428Z,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,E_llm_agent,anonymous,175.0,2,20260909T124428Z,2026-09-09T12:47:12.699638+00:00,23,170.0,Fe,1,1,1,1,27.0,27.0,73.0,-0.058823529411764705,0.0,201.2234430248783,1.837752276510578e-10,0,0,0,170340,16316,agent STOP: S1 true: feasible optimized lowest-cost candidate candidate_13 exists. S2 true: stopping status reports no unresolved candidates; high-activity exceptions candidate_04 and candidate_05 were optimized and remaining candidates screened. S3 true: highest-activity candidate_04 has BACKWARD parity and re,1
