CI_hi,CI_lo,P_full_D,P_full_E,budget_CU,delta_CI_hi,delta_CI_lo,delta_P_full,family,k_full,model,n,tier,D_CU_to_full,D_CU_to_stable,D_spent_CU,both_full_correct_regime,comparison_label,delta_CU_full_D_minus_E_mean,delta_CU_full_boot_hi,delta_CU_full_boot_lo,k_full_clean,k_pair,k_reach,k_winner,mean_CU_to_full,mean_CU_to_stable,mean_action_errors,mean_regret_USD_t,mean_spent_CU,mean_unnecessary_CU_fraction,median_CU_to_full,median_spent_CU,n_CU_to_full,n_break_even_exact,n_clean,n_infra_retry_runs,n_narrow_window,relative_CU_full_saving,relative_total_CU_saving
1.0,0.6456695649333126,0,1.0,150,1.0,0.6456695649333126,1.0,C1,7,gpt-5.5-2026-04-23,7,strong,,,126.0,False,decision-completion advantage (D incomplete),,,,7,7,7,7,115.14285714285714,67.57142857142857,0.14285714285714285,0.0,121.28571428571429,0.14561598147742952,128.0,120.0,7,4,7,0,7,,0.03741496598639451
0.9911185511992047,0.763868806553258,0,0.95,175,0.9911185511992047,0.763868806553258,0.95,C1,19,gpt-5.5-2026-04-23,20,strong,,155.0,175.0,False,decision-completion advantage (D incomplete),,,,19,20,19,20,126.63157894736842,90.0,0.5,0.0,150.6,0.06367744592069656,140.0,163.5,19,15,20,0,20,,0.13942857142857146
1.0,0.6755924351161198,0,1.0,200,1.0,0.6755924351161198,1.0,C1,8,gpt-5.5-2026-04-23,8,strong,,155.0,193.0,False,decision-completion advantage (D incomplete),,,,8,8,8,8,173.5,140.75,0.125,0.0,182.75,0.0044964028776978415,189.0,189.0,8,7,8,0,3,,0.05310880829015544
1.0,0.8388748419471806,1,1.0,225,0.0,-0.16112515805281935,0.0,C1,20,gpt-5.5-2026-04-23,20,strong,206.0,155.0,214.0,True,same-quality efficiency,-11.800000000000011,-11.5,-12.0,20,20,20,20,217.8,155.0,0.0,0.0,217.8,0.13315069656812778,218.0,218.0,20,20,20,0,3,-0.05728155339805831,-0.017757009345794446
1.0,0.7008549515804559,1,1.0,250,0.0,-0.29914504841954415,0.0,C1,9,gpt-5.5-2026-04-23,9,strong,206.0,155.0,247.0,True,same-quality efficiency,-15.0,-11.333333333333343,-21.666666666666657,9,9,9,9,221.0,155.0,0.0,0.0,224.66666666666666,0.1424973708632729,218.0,218.0,9,9,9,0,0,-0.07281553398058252,0.09041835357624835
0.6244653702374747,0.03622410863243014,0,0.2,200,0.6244653702374747,0.03622410863243014,0.2,V1_historical,1,gpt-5.4-mini-2026-03-17,5,mini,,155.0,193.0,False,decision-completion advantage (D incomplete),,,,1,2,1,4,187.0,147.5,2.6,200.0,190.2,0.18021519543258674,187.0,187.0,1,1,5,0,1,,0.014507772020725448
0.769275718723987,0.11762077423264783,1,0.4,250,-0.23072428127601297,-0.8823792257673522,-0.6,V1_historical,2,gpt-5.4-mini-2026-03-17,5,mini,206.0,155.0,247.0,True,same-quality efficiency,17.0,17.0,17.0,2,2,2,3,189.0,145.0,3.0,201.34777802223797,214.8,0.24917173335275056,189.0,227.0,2,2,5,0,0,0.0825242718446602,0.1303643724696356
0.43448246478317476,0.0,0,0.0,200,0.43448246478317476,0.0,0.0,V1_historical,0,gpt-5.4-nano-2026-03-17,5,nano,,155.0,193.0,False,decision-completion advantage (D incomplete),,,,0,0,0,1,,184.0,2.6,800.0,184.0,0.283695652173913,,184.0,0,0,5,0,0,,0.046632124352331605
0.43448246478317476,0.0,1,0.0,250,-0.5655175352168252,-1.0,-1.0,V1_historical,0,gpt-5.4-nano-2026-03-17,5,nano,206.0,155.0,247.0,True,same-quality efficiency,,,,0,1,0,4,,227.5,3.4,1.3477780222379736,242.0,0.33553719008264465,,242.0,0,0,5,0,0,,0.020242914979757085
1.0,0.5655175352168251,0,1.0,200,1.0,0.5655175352168251,1.0,V1_historical,5,gpt-5.5-2026-04-23,5,strong,,155.0,193.0,False,decision-completion advantage (D incomplete),,,,5,5,5,5,185.0,115.0,0.0,0.0,182.4,0.017604617604617605,189.0,189.0,5,4,5,0,2,,0.05492227979274608
1.0,0.5655175352168251,1,1.0,250,0.0,-0.43448246478317487,0.0,V1_historical,5,gpt-5.5-2026-04-23,5,strong,206.0,155.0,247.0,True,same-quality efficiency,-12.0,-12.0,-12.0,5,5,5,5,218.0,166.6,0.0,0.0,218.0,0.13302752293577982,218.0,218.0,5,5,5,0,0,-0.05825242718446602,0.11740890688259109
