tier,budget_CU,E_full_correct,D_full_correct,delta_P_full_E_minus_D,delta_CI_lo,delta_CI_hi,E_n
nano,200,0.0,0.0,0.0,0.0,0.4344824687,5
nano,250,0.0,1.0,-1.0,-1.0,-0.5655175313,5
nano,300,0.0,1.0,-1.0,-1.0,-0.5655175313,5
nano,500,0.6,1.0,-0.4,-0.7692757206,-0.1176207731,5
nano,800,0.0,1.0,-1.0,-1.0,-0.5655175313,5
nano,1200,0.0,1.0,-1.0,-1.0,-0.5655175313,5
nano,2000,0.6,1.0,-0.4,-0.7692757206,-0.1176207731,5
mini,200,0.2,0.0,0.2,0.0362241082,0.62446537297,5
mini,250,0.4,1.0,-0.6,-0.8823792269,-0.2307242794,5
mini,300,0.2,1.0,-0.8,-0.9637758918,-0.3755346270,5
mini,500,0.4,1.0,-0.6,-0.8823792269,-0.2307242794,5
mini,800,0.8,1.0,-0.2,-0.6244653730,-0.0362241082,5
mini,1200,0.4,1.0,-0.6,-0.8823792269,-0.2307242794,5
mini,2000,0.6,1.0,-0.4,-0.7692757206,-0.1176207731,5
strong,200,1.0,0.0,1.0,0.5655175313,1.0,5
strong,250,1.0,1.0,0.0,-0.4344824687,0.0,5
strong,300,1.0,1.0,0.0,-0.4344824687,0.0,5
strong,500,1.0,1.0,0.0,-0.4344824687,0.0,5
strong,800,1.0,1.0,0.0,-0.4344824687,0.0,5
strong,1200,1.0,1.0,0.0,-0.4344824687,0.0,5
strong,2000,1.0,1.0,0.0,-0.4344824687,0.0,5
