purge,economic_order,economic_winner,rank_of_upstream_winner_1wtRe_250C,rank_of_5wtRe_250C,spearman,kendall,pairwise_inversions,NPC_1 wt% Re | 200 C,NPC_5 wt% Re | 200 C,NPC_1 wt% Re | 250 C,NPC_5 wt% Re | 250 C
0.005,1 wt% Re | 200 C > 5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C,1 wt% Re | 200 C,3,4,0.4,0.333,2,895.25,907.43,917.63,1232.57
0.006,1 wt% Re | 200 C > 5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C,1 wt% Re | 200 C,3,4,0.4,0.333,2,900.02,909.62,921.3,1232.96
0.007,1 wt% Re | 200 C > 5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C,1 wt% Re | 200 C,3,4,0.4,0.333,2,904.8,911.9,925.04,1233.86
0.008,1 wt% Re | 200 C > 5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C,1 wt% Re | 200 C,3,4,0.4,0.333,2,909.6,914.23,928.83,1235.09
0.009,1 wt% Re | 200 C > 5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C,1 wt% Re | 200 C,3,4,0.4,0.333,2,914.4,916.6,932.64,1236.54
0.01,5 wt% Re | 200 C > 1 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,3,4,0.2,0.0,3,919.2,918.99,936.48,1238.16
0.011,5 wt% Re | 200 C > 1 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,3,4,0.2,0.0,3,923.99,921.39,940.32,1239.91
0.012,5 wt% Re | 200 C > 1 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,3,4,0.2,0.0,3,928.79,923.81,944.17,1241.74
0.013,5 wt% Re | 200 C > 1 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,3,4,0.2,0.0,3,933.58,926.24,948.02,1243.65
0.014,5 wt% Re | 200 C > 1 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,3,4,0.2,0.0,3,938.36,928.67,951.87,1245.62
