metal,dEO_eV,atomic_rank,atomic_log10TOF_ref,theta_O_ref,economic_rank_feasible,feasible,cost_USD_per_tN2O,T_opt_C,D_opt_m,L_m,V_m3,metal_kg,dP_bar,metal_cost,reactor_base,vessel_pressure_premium,heating,pressure_drop,elasticity_dlnC_dlnTOF,price_USD_kg
Rh,-1.65,1,-2.4883,0.8912,8,True,619.184,650.0,8.0,0.048,2.424,24.24,0.0014,267.664,4.147,0.2115,346.962,0.201,-0.4374562023027122,265243.65919095
Ir,-1.55,2,-2.5361,0.8423,10,True,875.404,650.0,8.0,0.099,4.971,49.71,0.0029,522.311,5.221,0.4987,346.962,0.411,-0.596188412203541,252383.36056351
Ni,-1.85,3,-2.6148,0.96896,1,True,92.87,445.0,8.0,2.687,135.045,1350.45,0.0621,0.951,20.974,26.4506,37.713,6.782,-0.5987417551982176,16.9094555095895
Pd,-1.25,4,-2.8567,0.68049,6,True,433.094,645.0,8.0,0.103,5.165,51.65,0.003,87.44,5.29,0.5214,339.419,0.423,-0.2304844921492517,40670.694409279
Cu,-1.05,5,-3.1432,0.56732,2,True,164.692,490.0,8.0,2.851,143.295,1432.95,0.07,0.829,21.575,28.5616,105.597,8.13,-0.36178335163952186,13.889122517655
Co,-2.05,6,-3.2801,0.99744,3,True,170.692,495.0,8.0,2.648,133.09,1330.9,0.0654,3.118,20.829,25.9568,113.14,7.648,-0.30924083769846156,56.28401553583051
Pt,-0.9,7,-3.3783,0.48163,9,True,812.543,650.0,8.0,0.419,21.083,210.83,0.0125,452.07,9.083,2.6827,346.962,1.745,-0.564655679478917,51508.71107755406
Ru,-2.15,8,-3.746,0.99946,7,True,606.672,650.0,8.0,0.222,11.173,111.73,0.0066,250.482,7.027,1.2763,346.962,0.925,-0.42428751177955604,53852.5
Ag,-0.45,9,-4.1467,0.229,4,True,398.371,630.0,8.0,1.323,66.492,664.92,0.0384,50.477,15.056,10.772,316.791,5.275,-0.18845374521389524,1823.590345370992
Os,-2.3,10,-4.4724,0.99995,11,True,4698.528,650.0,8.0,1.447,72.71,727.1,0.0429,4317.808,15.688,12.0422,346.962,6.028,-0.9203171869811202,142650.0
Au,0.25,11,-5.4977,0.00095,,False,,,,,,,,,,,,,,128732.2322756058
Fe,-2.55,12,-5.6915,1.0,5,True,429.304,650.0,8.0,3.775,189.761,1897.61,0.1121,0.632,24.689,41.2351,346.962,15.787,,8.0
Re,-2.9,13,-7.3989,1.0,,False,,,,,,,,,,,,,,5757.64
Mo,-3.2,14,-8.8618,1.0,,False,,,,,,,,,,,,,,91.22728409215301
W,-3.45,15,-9.7615,1.0,,False,,,,,,,,,,,,,,149.97
