metal,E_N_eV,price_USD_kg,logTOF_673K,min_bed_m3,log10_min_bed_m3,feasible_90m3,cost_USD_t,atomic_rank,economic_rank
Ru,-1.1333,53852.5,-3.4511885358841505,0.00033021861385932016,-3.4811984499449764,1,22.03059478781101,1,2
Os,-1.1095,142650.0,-3.495320399313441,0.000797136175761881,-3.0984674812009345,1,25.83179725613286,2,3
Fe,-1.392120623747696,8.0,-5.3099700922126845,0.1664704834404206,-0.77866275924672,1,15.291704676621144,3,1
Rh,-0.458,265243.65919095,-8.043486483307811,559.9740836746681,2.748167927760604,0,76919.4212554002,4,6
Ir,-0.4407,252383.36056351,-8.20256659221374,1551.9043803530785,3.1908649589554647,0,202750.61658963692,5,8
Co,-0.2701,56.28401553583051,-9.827339304138908,24021.47168224049,4.380599611055943,0,2582.589479210698,6,4
Re,-1.8252,5757.64,-10.563178970710178,96107.33555883048,4.982756537212126,0,393749.8081060467,7,9
Mo,-1.8417,91.22728409215301,-10.758861007859798,75021.32358330421,4.875184722036173,0,40627.657401237375,8,5
Ni,-0.0928,16.9094555095895,-11.6277967143094,1503825.6720748649,6.177197494471048,0,82583.97520036699,9,7
W,-2.161,149.97,-14.552220335590981,471372034.7184679,8.673363813386189,0,203709077.42663145,10,10
Pd,0.5637,40670.694409279,-19.33848820076085,29898332633808.273,13.475646969323508,0,636087577349362.4,11,11
Pt,0.5895,51508.71107755406,-19.672211894241162,108493182687384.03,14.035402449573775,0,2911695469262711.5,12,12
Cu,1.2491,13.889122517655,-28.596518023328855,4.204123126359703e+21,21.623675426746203,0,2.0424683067523472e+20,13,13
Ag,2.911,1823.590345370992,-51.76451479225579,2.339226387243287e+43,43.369072254290046,0,2.2066104658040146e+43,14,14
Au,3.0029,128732.2322756058,-53.047576696367514,6.677420718972683e+44,44.824608740344914,0,4.432029587064657e+46,15,15
