K,rho_raw,rho_censored,n_feasible
3,-0.5,-0.5,3
4,0.39999999999999997,0.39999999999999997,3
5,0.7,0.6668859288553501,3
6,0.6571428571428573,0.7589709258986453,3
7,0.7857142857142859,0.7881104062391007,3
8,0.6666666666666669,0.7910398521054723,3
9,0.6666666666666667,0.7822165589515727,3
10,0.7575757575757575,0.7680367542868648,3
11,0.8181818181818182,0.7515580963521804,3
12,0.8601398601398602,0.7343158832057565,3
13,0.8901098901098902,0.7171005886087412,3
14,0.9120879120879121,0.70031890928483,3
15,0.9285714285714284,0.684172319121686,3
