case,P_bar,cost,T_C,Tsep_C,V_m3,metal_cost,reactor_base,vessel_pressure_premium,fresh_comp,recycle_comp,refrigeration,compressor_capex
Fe,35.0,115.61132842152593,450.0,-40.0,87.88380639945876,0.3624842679524324,0.2373397184346132,0.8570516161047627,0.8310416118494507,75.55235465822973,11.263154637828702,26.507901911126226
Fe,40.0,34.00055368777289,425.0,-40.0,78.13399067125331,0.3222703199943086,0.22471881916449143,0.8580107377882947,1.5509226002663583,14.167426019343887,11.263154637828702,5.614050553386852
Fe,45.0,28.119723451746044,425.0,-40.0,56.0963398230624,0.2313741462579491,0.19303863784476932,0.6570978005102557,2.1859026335045497,9.31621221655179,11.263154637828702,4.272943379248026
Fe,50.0,25.091702252669553,425.0,-40.0,43.869568283364835,0.1809437824336507,0.17282022885902085,0.553468973783497,2.75391162870125,6.745303612811952,11.263154637828702,3.422099388251482
Fe,55.0,23.500167894474316,425.0,-35.0,41.31924660884885,0.17042476279733415,0.16827403474188976,0.5727636386348811,3.2677382659824237,5.768162857659162,10.239062580464564,3.313741754194064
Fe,60.0,22.678720637047594,425.0,-30.0,40.57264401643829,0.16734533661805345,0.1669178192941568,0.616229517187547,3.736825233770909,5.149254385021166,9.257088230579932,3.5850601145758327
Fe,65.0,21.69529763159804,425.0,-25.0,39.96323587305867,0.16483178066517234,0.16580191530054994,0.6604304648694304,4.168343413751375,4.644377815940972,8.314685686050309,3.5768265550202374
Fe,70.0,20.84260828142439,425.0,-25.0,33.10409567278606,0.13654067089032046,0.15262761066163086,0.5787243333074825,4.56786684562036,3.6802071856283765,8.314685686050309,3.41195594926591
Fe,75.0,19.801723348328267,425.0,-20.0,33.15699723890934,0.13675886791950437,0.1527339894370322,0.6248433156634325,4.9398142622058,3.405247784900875,7.4095101825844685,3.132814945617151
Fe,80.0,19.191756752305498,425.0,-15.0,33.777291761315794,0.13931732567277244,0.15397530316432517,0.6843021387744995,5.287747834037267,3.208666453880335,6.539398614949186,3.1783490818271147
Fe,85.0,18.691835331695167,425.0,-10.0,35.043322898746794,0.1445391792639875,0.1564753459325707,0.761776304989836,5.614581186238835,3.0809550135610415,5.702352278840991,3.231156022867906
Fe,90.0,18.260843014032204,425.0,-10.0,29.54392809831167,0.12185645556223604,0.14527042511554322,0.6704369421923154,5.922727867275459,2.529325333649857,5.702352278840991,3.168873711395803
Fe,95.0,17.82739854448188,425.0,-5.0,31.015143996216153,0.12792461122822882,0.14835966257324054,0.7506804380098605,6.214209622419333,2.466815563410373,4.896521543557266,3.2228871032835746
Fe,100.0,17.494686940835876,425.0,0.0,33.21290273185039,0.13698945490149222,0.15284632025191364,0.85700985064875,6.490736862472159,2.452368843605782,4.120192208064269,3.2845434008915078
Fe,105.0,17.16664380178066,425.0,0.0,28.218331123295577,0.11638891758482288,0.1424230811183228,0.7548961711456089,6.753769479124909,2.046198076117843,4.120192208064269,3.232775868624882
Fe,110.0,16.872061669272647,425.0,5.0,30.553281950929442,0.12601962176270884,0.14739757666426878,0.8675714913467345,7.004563499753333,2.060620899062291,3.371773328637891,3.29411525204542
Fe,115.0,16.99767959504709,425.0,5.0,26.25677949001431,0.10829833028584993,0.13808915104302466,0.7713820485699764,7.244207362873569,1.7458370910578593,3.371773328637891,3.6180922825789184
Fe,120.0,16.74813247053079,425.0,10.0,28.746531097957398,0.11856752350771066,0.14356517541440567,0.8932442086960151,7.473650467541818,1.7795500574845955,2.64978633617695,3.6897687017092986
Fe,125.0,16.572232066229272,425.0,10.0,24.905043108597205,0.10272297809348442,0.1350114645888125,0.798995008653314,7.693725890907051,1.524883676269317,2.64978633617695,3.667106711540344
Fe,130.0,16.35648162952487,425.0,15.0,27.579808505659486,0.1137552764954411,0.1410286530884817,0.9332161774320968,7.905168647522283,1.5727797841924769,1.9528552865395714,3.737677804254516
Fe,135.0,16.20931565884987,425.0,15.0,24.02969031500524,0.09911251070950393,0.1329754829406097,0.8377449733008625,8.108630500780007,1.3590456506569422,1.9528552865395714,3.7189512539223735
Fe,140.0,16.030644405474174,425.0,20.0,26.931324982166977,0.11108055079883261,0.13959651837536874,0.9881179260055466,8.30469207939127,1.418505572647525,1.2796981086278416,3.7889536496277887
Fe,145.0,15.896728648855209,425.0,20.0,23.552174956639412,0.09714295781682965,0.1318498127352454,0.8885190447327553,8.493872866725853,1.2331784671479475,1.2796981086278416,3.772467391068735
Fe,150.0,15.76067840162441,425.0,25.0,26.73609401703624,0.11027530400336044,0.13916212940329917,1.0598171297775847,8.676639495976708,1.3031299730280115,0.6291187330945023,3.8425356363409433
Fe,155.0,15.62834548792165,425.0,25.0,23.430384372137414,0.09664062214572725,0.13156096098174377,0.9530427838620802,8.853412684662041,1.1375350473546724,0.6291187330945023,3.8270346558208814
Fe,160.0,15.542951833913348,425.0,30.0,26.969877866031783,0.11123956546214463,0.13968211964123947,1.1515231455334167,9.024573067808177,1.218016754851996,0.0,3.8979171806163735
Fe,165.0,15.402247421822551,425.0,30.0,23.649731825710724,0.0975453394582018,0.13208067239060686,1.0340081380184136,9.190466133257882,1.0657542663187747,0.0,3.8823928723786727
Fe,170.0,15.32494392591525,425.0,30.0,21.004391394609563,0.08663440684230884,0.12564906890321775,0.9418888003989856,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
Fe,175.0,15.292223547932423,425.0,30.0,18.848581999418005,0.07774258680769323,0.12011390622392916,0.8678092167576835,9.507681107826158,0.8462741545195622,0.0,3.8726025757973965
Fe,180.0,15.291704676621144,425.0,30.0,17.059161423818093,0.07036196876234935,0.11528397998054762,0.8069929693048167,9.659553101046367,0.7647429371460784,0.0,3.874769720380986
Fe,185.0,15.314928818209946,425.0,30.0,15.55108318743411,0.06414177123192,0.11102098782514334,0.7562075498711108,9.80726368978868,0.6961700161061514,0.0,3.880124803386939
Fe,190.0,15.355938012893223,425.0,30.0,14.263718103876622,0.05883192395721513,0.10722206133742168,0.7131893149718227,9.951034856190242,0.6377463842773429,0.0,3.887913472159178
Fe,195.0,15.382454641601544,450.0,30.0,5.2314320340620695,0.021577488378127098,0.07362777822804188,0.2728733996910918,10.091071281026833,0.8947944021930849,0.0,4.028510292084365
Fe,200.0,15.418138868881375,450.0,30.0,4.776461412143041,0.019700923177064098,0.07136044279448452,0.25816957648012023,10.22756209624307,0.8141651000659614,0.0,4.027180730120675
Fe,205.0,15.468331499977154,450.0,30.0,4.388421319300985,0.01810041866146869,0.06934329150021577,0.2457138863490252,10.360682421050402,0.7455898293668761,0.0,4.028901653049165
Fe,210.0,15.529499147159573,450.0,30.0,4.05367987411843,0.016719748971778452,0.06753326612431532,0.23503769614983727,10.490594712895817,0.6865979821540226,0.0,4.033015740863802
Fe,215.0,15.599030376175705,450.0,30.0,3.7620723778119407,0.015516988939427937,0.06589707182657739,0.22579441616031376,10.617449959446144,0.635348586572843,0.0,4.039023353230397
Fe,220.0,15.674960314004927,450.0,30.0,3.5058644135413313,0.014460237301360668,0.064408500130161,0.21772224885905525,10.741388733524241,0.5904419027615152,0.0,4.046538691428594
Fe,225.0,16.141831301483194,450.0,30.0,3.2790661200503184,0.01352478836307416,0.06304659763262008,0.21061978294674374,10.862542129481257,0.5507948359861481,0.0,4.441303167073352
Fe,230.0,16.232312919595756,450.0,30.0,3.076966290770641,0.012691210350570066,0.061794381848106275,0.20432955005370257,10.98103259664448,0.5155562969382039,0.0,4.4569088837606925
Fe,235.0,16.326134463547493,450.0,30.0,2.8958082483375702,0.01194400852710135,0.0606379209549461,0.19872667195155683,11.096974683125204,0.48404832485268273,0.0,4.473802854136003
Fe,240.0,16.421716655810954,450.0,30.0,2.7325595870312154,0.011270675476199117,0.05956566155102817,0.19371085132977678,11.210475701312726,0.4557242673166789,0.0,4.490969498824545
Fe,245.0,16.51852213826944,450.0,30.0,2.5847455251068676,0.01066100374912139,0.05856792911781364,0.18920061190365792,11.321636324745265,0.43013851804754094,0.0,4.508317750706042
Fe,250.0,16.6161222191768,450.0,30.0,2.4503262655094757,0.010106580028642112,0.05763655109438468,0.1851290843573239,11.430551124677958,0.4069242505768601,0.0,4.525774628441628
Fe,255.0,16.71417309236588,450.0,30.0,2.3276053757555766,0.009600407234046504,0.05676456851362153,0.1814408751788818,11.537309053514294,0.38577678742795185,0.0,4.543281400497085
Fe,260.0,16.812397886546965,450.0,30.0,2.215160402194321,0.009136618333722618,0.05594601261436061,0.1780897073004343,11.64199388129319,0.3664410084564051,0.0,4.560790658548851
Fe,265.0,16.910572955779337,450.0,30.0,2.1117896667673555,0.008710256903851974,0.055175729805483895,0.17503661950576083,11.74468459059793,0.34870169865970296,0.0,4.578264060306607
Fe,270.0,17.008517297300674,450.0,30.0,2.0164710066277154,0.008317106946442563,0.05444924307935876,0.17224857618650283,11.845455734550917,0.3323760651072205,0.0,4.595670571430231
Fe,275.0,17.106084304049087,450.0,30.0,1.9283294407162586,0.0079535595273609,0.05376264122926644,0.1696973824110082,11.944377761959132,0.31730787502294766,0.0,4.612985083899372
Fe,280.0,17.20315527972534,450.0,30.0,1.8466115875025226,0.007616507260118551,0.053112489507440686,0.167358828890016,12.041517313162176,0.303362819604478,0.0,4.63018732130111
Fe,285.0,17.299634298855256,450.0,30.0,1.7706652440881452,0.007303260078139481,0.05249575698534361,0.16521201199313432,12.136937489694793,0.2904248150078445,0.0,4.647260965096002
Fe,290.0,17.395444102297652,450.0,30.0,1.699922950548319,0.007011477444482209,0.05190975704377678,0.16323878839925274,12.230698100496761,0.27839302653908543,0.0,4.664192952374294
Fe,295.0,17.490522797490282,450.0,30.0,1.6338886603156464,0.00673911337269917,0.05135209827581961,0.1614233342994428,12.322855887076004,0.2671794564994245,0.0,4.6809729079668925
Fe,300.0,17.584821189171837,450.0,30.0,1.57212685232973,0.0064843715189674975,0.05082064371415207,0.15975178650913288,12.413464729747618,0.2567069750794309,0.0,4.697592682602535
Fe,305.0,17.678300607547914,450.0,30.0,1.5142535781637558,0.006245668255197702,0.050313476762329196,0.1582119482713864,12.50257583682592,0.24690770214995722,0.0,4.714045975283123
Fe,310.0,17.77093113194856,450.0,30.0,1.4599290542280685,0.006021602114944436,0.04982887256387043,0.15679304655498422,12.590237918432951,0.23772166922299579,0.0,4.730328023058819
Fe,315.0,17.862690130812606,450.0,30.0,1.4088514963911396,0.0058109283637739215,0.04936527381063139,0.15548553063332338,12.676497346400367,0.229095706583179,0.0,4.746435345021331
Fe,320.0,17.95356105637145,450.0,30.0,1.3607519603576035,0.005612537717962348,0.04892127019827485,0.1542809039856977,12.761398301579085,0.22098251268355013,0.0,4.76236553020688
Fe,325.0,18.04353244541639,450.0,30.0,1.3153900012562814,0.005425438442095843,0.04849558089489027,0.15317158326257374,12.844982909728083,0.21333987189118722,0.0,4.778117061197559
Fe,330.0,18.132597087819107,450.0,30.0,1.272550004481753,0.005248741215313059,0.048087039513140827,0.15215077936823018,12.927291367028793,0.20612999376635807,0.0,4.793689166927271
Fe,335.0,18.220751332218565,450.0,30.0,1.2320380695957922,0.005081646278690416,0.04769458117307337,0.1512123967184316,13.008362056161179,0.19931895241740322,0.0,4.809081699469787
Fe,340.0,18.30799450442857,450.0,30.0,1.1936793523270663,0.004923432472092776,0.04731723131955936,0.15035094751522138,13.088231653780651,0.1928762087218024,0.0,4.824295030619247
Fe,345.0,18.394328418801297,450.0,30.0,1.157315787877249,0.004773447843754986,0.046954096018901784,0.14956147848956602,13.166935230149027,0.18677420145461787,0.0,4.839329964845429
Fe,350.0,18.47975696668327,450.0,30.0,1.1228041331671712,0.004631101575358871,0.046604353508378514,0.14883950804993734,13.244506341597068,0.180987996064261,0.0,4.854187665888265
Fe,355.0,18.564285768921497,450.0,30.0,1.0900142770071097,0.004495857012186209,0.046267246811049746,0.14818097215062415,13.32097711642869,0.17549498180918582,0.0,4.868869594709761
Fe,360.0,18.647921881859382,450.0,30.0,1.0588277763329672,0.004367225625699811,0.04594207726022272,0.1475821775018692,13.396378334817275,0.1702746096914142,0.0,4.883377456962901
Fe,365.0,18.73067354814153,450.0,30.0,1.0291365839622861,0.004244761766064489,0.045628198803612935,0.14703976098690047,13.470739503191364,0.16530816493725203,0.0,4.897713158456334
Fe,370.0,18.812549985083546,450.0,30.0,1.0008419392008985,0.004128058086359408,0.04532501297788752,0.14655065434338832,13.544088923559588,0.1605785687912152,0.0,4.911878767325106
Fe,375.0,18.893561204833272,450.0,30.0,0.9738533975135027,0.004016741540371483,0.04503196446242292,0.14611205333535857,13.616453758182507,0.15607020540044705,0.0,4.925876481912164
Fe,380.0,18.973717861231957,450.0,30.0,0.9480879792626065,0.003910469871496409,0.04474853713406074,0.14572139075763305,13.687860089961152,0.15176877007896442,0.0,4.9397086034286515
Fe,385.0,19.053031119401364,450.0,30.0,0.9234694208330413,0.003808928523937752,0.04447425055756826,0.1453763127327601,13.75833297887824,0.14766113600225833,0.0,4.9533775127066
Fe,390.0,19.13151254457943,450.0,30.0,0.8999275140294712,0.0037118279179955286,0.04420865685560684,0.14507465783996998,13.827896514797741,0.14373523675321517,0.0,4.966885650414899
Fe,395.0,19.20917400734594,450.0,30.0,0.8773975218353155,0.003618901040313967,0.04395133791043118,0.14481443868993643,13.896573866901088,0.13997996257489,0.0,4.9802355002292815
Fe,400.0,19.286027602806808,450.0,30.0,0.8558196604163398,0.003529901307361065,0.04370190285626389,0.14459382561707826,13.964387330013977,0.1363850684946371,0.0,4.993429574517493
Fe,405.0,19.362085581754382,450.0,30.0,0.8351386387801607,0.0034446006667148833,0.04345998582732547,0.14441113221352528,14.031358368055468,0.13294109279866204,0.0,5.006470402192689
Fe,410.0,19.437360291989744,450.0,30.0,0.8153032487079414,0.0033627879057017956,0.04322524393076379,0.1442648024633977,14.097507654821312,0.1296392844763353,0.0,5.019360518392235
