chain,step,action,cost_CU,cum_CU,window_states,winner
oracle_protocol_complete,1,BUILD_PROCESS_WINDOW,1.0,1.0,3,
oracle_protocol_complete,2,COMPUTE_ACTIVITY,15.0,16.0,,
oracle_protocol_complete,3,OPTIMIZE_PROCESS,3.0,19.0,,Fe
oracle_protocol_complete,4,BACKWARD,1.0,20.0,,
oracle_protocol_complete,5,TEST_REACHABILITY,2.0,22.0,,
agent_strong_B150,1,INSPECT_CANDIDATES,0.0,0.0,,
agent_strong_B150,2,COMPUTE_ACTIVITY,15.0,15.0,,
agent_strong_B150,3,READ_PROPERTY_UNCERTAINTY,0.0,15.0,,
agent_strong_B150,4,BUILD_PROCESS_WINDOW,0.0,15.0,,
agent_strong_B150,5,BUILD_PROCESS_WINDOW,11.0,26.0,1302,
agent_strong_B150,6,OPTIMIZE_PROCESS,3.0,29.0,,
agent_strong_B150,7,OPTIMIZE_PROCESS,3.0,32.0,,
agent_strong_B150,8,OPTIMIZE_PROCESS,3.0,35.0,,
agent_strong_B150,9,OPTIMIZE_PROCESS,3.0,38.0,,Ru
agent_strong_B150,10,OPTIMIZE_PROCESS,3.0,41.0,,Ru
agent_strong_B150,11,OPTIMIZE_PROCESS,3.0,44.0,,Ru
agent_strong_B150,12,OPTIMIZE_PROCESS,3.0,47.0,,Ru
agent_strong_B150,13,OPTIMIZE_PROCESS,3.0,50.0,,Ru
agent_strong_B150,14,OPTIMIZE_PROCESS,3.0,53.0,,Ru
agent_strong_B150,15,OPTIMIZE_PROCESS,3.0,56.0,,Ru
agent_strong_B150,16,OPTIMIZE_PROCESS,3.0,59.0,,Ru
agent_strong_B150,17,OPTIMIZE_PROCESS,3.0,62.0,,Ru
agent_strong_B150,18,OPTIMIZE_PROCESS,3.0,65.0,,Fe
agent_strong_B150,19,OPTIMIZE_PROCESS,3.0,68.0,,Fe
agent_strong_B150,20,OPTIMIZE_PROCESS,3.0,71.0,,Fe
agent_strong_B150,21,CHECK_MODEL_VALIDITY,0.0,71.0,,Fe
agent_strong_B150,22,BUILD_PROCESS_WINDOW,14.0,85.0,1784,Fe
agent_strong_B150,23,OPTIMIZE_PROCESS,4.0,89.0,,Fe
agent_strong_B150,24,OPTIMIZE_PROCESS,4.0,93.0,,Fe
agent_strong_B150,25,OPTIMIZE_PROCESS,4.0,97.0,,Fe
agent_strong_B150,26,BACKWARD,1.0,98.0,,Fe
agent_strong_B150,27,READ_COST_BREAKDOWN,0.0,98.0,,Fe
agent_strong_B150,28,READ_COST_BREAKDOWN,0.0,98.0,,Fe
agent_strong_B150,29,READ_COST_BREAKDOWN,0.0,98.0,,Fe
agent_strong_B150,30,TEST_REACHABILITY,4.0,102.0,,Fe
agent_strong_B150,31,STOP,0.0,102.0,,Fe
fixed_policy_D_B225,1,BUILD_PROCESS_WINDOW,111.0,111.0,14136,
fixed_policy_D_B225,2,COMPUTE_ACTIVITY,15.0,126.0,,
fixed_policy_D_B225,3,READ_PROPERTY_UNCERTAINTY,0.0,126.0,,
fixed_policy_D_B225,4,OPTIMIZE_PROCESS,29.0,155.0,,Fe
fixed_policy_D_B225,5,CHECK_MODEL_VALIDITY,0.0,155.0,,Fe
fixed_policy_D_B225,6,RUN_MC,17.0,172.0,,Fe
fixed_policy_D_B225,7,OPTIMIZE_PROCESS,29.0,201.0,,Fe
fixed_policy_D_B225,8,BACKWARD,1.0,202.0,,Fe
fixed_policy_D_B225,9,TEST_REACHABILITY,4.0,206.0,,Fe
fixed_policy_D_B225,10,TEST_LEVER,2.0,208.0,,Fe
fixed_policy_D_B225,11,TEST_LEVER,2.0,210.0,,Fe
fixed_policy_D_B225,12,TEST_LEVER,2.0,212.0,,Fe
fixed_policy_D_B225,13,TEST_LEVER,2.0,214.0,,Fe
fixed_policy_D_B225,14,STOP,0.0,214.0,,Fe
