Purge,1 wt% Re / 200 C,5 wt% Re / 200 C,1 wt% Re / 250 C,5 wt% Re / 250 C
0.5,895.25,907.43,917.63,1232.57
0.6,900.02,909.62,921.3,1232.96
0.7,904.8,911.9,925.04,1233.86
0.8,909.6,914.23,928.83,1235.09
0.9,914.4,916.6,932.64,1236.54
1,919.2,918.99,936.48,1238.16
1.1,923.99,921.39,940.32,1239.91
1.2,928.79,923.81,944.17,1241.74
1.3,933.58,926.24,948.02,1243.65
1.4,938.36,928.67,951.87,1245.62
1.5,943.14,931.1,955.73,1247.63
1.6,947.91,933.54,959.58,1249.68
1.7,952.68,935.98,963.44,1251.77
1.8,957.45,938.42,967.29,1253.88
1.9,962.21,940.86,971.14,1256.02
2,966.96,943.3,974.99,1258.17
2.1,971.72,945.74,978.84,1260.34
2.2,976.46,948.18,982.69,1262.53
2.3,981.21,950.62,986.53,1264.73
2.4,985.95,953.06,990.37,1266.94
2.5,990.68,955.5,994.21,1269.16
2.6,995.41,957.94,998.05,1271.38
2.7,1000.14,960.38,1001.88,1273.62
2.8,1004.87,962.81,1005.72,1275.86
2.9,1009.59,965.25,1009.55,1278.11
3,1014.31,967.68,1013.38,1280.37
3.1,1019.03,970.11,1017.21,1282.62
3.2,1023.74,972.55,1021.03,1284.89
3.3,1028.45,974.98,1024.86,1287.16
3.4,1033.16,977.41,1028.68,1289.43
3.5,1037.87,979.83,1032.5,1291.7
3.6,1042.57,982.26,1036.32,1293.98
3.7,1047.27,984.69,1040.14,1296.26
3.8,1051.97,987.11,1043.95,1298.54
3.9,1056.66,989.54,1047.76,1300.83
4,1061.36,991.96,1051.58,1303.11
4.1,1066.05,994.38,1055.39,1305.4
4.2,1070.74,996.81,1059.2,1307.69
4.3,1075.43,999.23,1063,1309.98
4.4,1080.11,1001.65,1066.81,1312.28
4.5,1084.8,1004.07,1070.61,1314.57
4.6,1089.48,1006.48,1074.42,1316.87
4.7,1094.16,1008.9,1078.22,1319.16
4.8,1098.84,1011.32,1082.02,1321.46
4.9,1103.51,1013.73,1085.82,1323.76
5,1108.19,1016.15,1089.61,1326.06
