policy,variant,budget_CU,n,P_full_decision_correct,P_winner_correct,P_pair_correct,P_reachability_correct,mean_regret_USD_t,mean_spent_CU,mean_CU_to_stable_correct
A_random,anonymous,200.0,20,0.0,0.15,0.0,0.0,602.2549028980458,191.35,164.33333333333334
A_random,anonymous,250.0,20,0.0,0.15,0.0,0.0,453.26573641472424,243.8,164.33333333333334
A_random,anonymous,300.0,20,0.0,0.2,0.05,0.0,254.27656993140272,295.3,187.25
A_random,anonymous,500.0,20,0.05,0.7,0.35,0.05,2.401787280189145,497.15,342.35714285714283
A_random,anonymous,800.0,20,0.2,0.85,0.65,0.2,1.01083351667848,786.35,465.8235294117647
A_random,anonymous,1200.0,20,0.65,0.95,0.85,0.65,0.3369445055594934,1125.65,528.578947368421
A_random,anonymous,2000.0,20,0.85,0.95,0.95,0.85,0.3369445055594934,1642.25,528.578947368421
A_random,named,200.0,20,0.05,0.15,0.05,0.05,701.3909537635107,191.05,164.66666666666666
A_random,named,250.0,20,0.05,0.2,0.05,0.05,502.59184740360524,244.55,184.75
A_random,named,300.0,20,0.0,0.3,0.1,0.0,204.3197456726754,295.05,227.66666666666666
A_random,named,500.0,20,0.1,0.55,0.3,0.1,53.07567629130813,496.55,302.54545454545456
A_random,named,800.0,20,0.2,0.75,0.5,0.2,2.0648427746296516,795.05,427.73333333333335
A_random,named,1200.0,20,0.5,0.9,0.8,0.5,0.6738890111189868,1181.35,567.4444444444445
A_random,named,2000.0,20,0.85,1.0,0.9,0.85,0.0,1735.95,689.8
B_activity_first,anonymous,200.0,1,0.0,0.0,0.0,0.0,6.738890111189868,184.0,
B_activity_first,anonymous,250.0,1,1.0,1.0,1.0,1.0,0.0,219.0,213.0
B_activity_first,anonymous,300.0,1,1.0,1.0,1.0,1.0,0.0,269.0,213.0
B_activity_first,anonymous,500.0,1,1.0,1.0,1.0,1.0,0.0,369.0,213.0
B_activity_first,anonymous,800.0,1,1.0,1.0,1.0,1.0,0.0,369.0,213.0
B_activity_first,anonymous,1200.0,1,1.0,1.0,1.0,1.0,0.0,369.0,213.0
B_activity_first,anonymous,2000.0,1,1.0,1.0,1.0,1.0,0.0,369.0,213.0
B_activity_first,named,200.0,1,0.0,0.0,0.0,0.0,6.738890111189868,184.0,
B_activity_first,named,250.0,1,1.0,1.0,1.0,1.0,0.0,219.0,213.0
B_activity_first,named,300.0,1,1.0,1.0,1.0,1.0,0.0,269.0,213.0
B_activity_first,named,500.0,1,1.0,1.0,1.0,1.0,0.0,369.0,213.0
B_activity_first,named,800.0,1,1.0,1.0,1.0,1.0,0.0,369.0,213.0
B_activity_first,named,1200.0,1,1.0,1.0,1.0,1.0,0.0,369.0,213.0
B_activity_first,named,2000.0,1,1.0,1.0,1.0,1.0,0.0,369.0,213.0
C_uncertainty_first,anonymous,200.0,1,0.0,1.0,0.0,0.0,0.0,172.0,155.0
C_uncertainty_first,anonymous,250.0,1,0.0,1.0,0.0,0.0,0.0,230.0,155.0
C_uncertainty_first,anonymous,300.0,1,1.0,1.0,1.0,1.0,0.0,293.0,155.0
C_uncertainty_first,anonymous,500.0,1,0.0,1.0,1.0,0.0,0.0,500.0,155.0
C_uncertainty_first,anonymous,800.0,1,1.0,1.0,1.0,1.0,0.0,798.0,155.0
C_uncertainty_first,anonymous,1200.0,1,1.0,1.0,1.0,1.0,0.0,1059.0,155.0
C_uncertainty_first,anonymous,2000.0,1,1.0,1.0,1.0,1.0,0.0,1059.0,155.0
C_uncertainty_first,named,200.0,1,0.0,1.0,0.0,0.0,0.0,172.0,155.0
C_uncertainty_first,named,250.0,1,0.0,1.0,0.0,0.0,0.0,230.0,155.0
C_uncertainty_first,named,300.0,1,1.0,1.0,1.0,1.0,0.0,293.0,155.0
C_uncertainty_first,named,500.0,1,0.0,1.0,1.0,0.0,0.0,500.0,155.0
C_uncertainty_first,named,800.0,1,1.0,1.0,1.0,1.0,0.0,798.0,155.0
C_uncertainty_first,named,1200.0,1,1.0,1.0,1.0,1.0,0.0,1059.0,155.0
C_uncertainty_first,named,2000.0,1,1.0,1.0,1.0,1.0,0.0,1059.0,155.0
D_fixed_voi,anonymous,200.0,1,0.0,1.0,0.0,0.0,0.0,193.0,155.0
D_fixed_voi,anonymous,250.0,1,1.0,1.0,1.0,1.0,0.0,247.0,155.0
D_fixed_voi,anonymous,300.0,1,1.0,1.0,1.0,1.0,0.0,281.0,155.0
D_fixed_voi,anonymous,500.0,1,1.0,1.0,1.0,1.0,0.0,281.0,155.0
D_fixed_voi,anonymous,800.0,1,1.0,1.0,1.0,1.0,0.0,281.0,155.0
D_fixed_voi,anonymous,1200.0,1,1.0,1.0,1.0,1.0,0.0,281.0,155.0
D_fixed_voi,anonymous,2000.0,1,1.0,1.0,1.0,1.0,0.0,281.0,155.0
D_fixed_voi,named,200.0,1,0.0,1.0,0.0,0.0,0.0,193.0,155.0
D_fixed_voi,named,250.0,1,1.0,1.0,1.0,1.0,0.0,247.0,155.0
D_fixed_voi,named,300.0,1,1.0,1.0,1.0,1.0,0.0,281.0,155.0
D_fixed_voi,named,500.0,1,1.0,1.0,1.0,1.0,0.0,281.0,155.0
D_fixed_voi,named,800.0,1,1.0,1.0,1.0,1.0,0.0,281.0,155.0
D_fixed_voi,named,1200.0,1,1.0,1.0,1.0,1.0,0.0,281.0,155.0
D_fixed_voi,named,2000.0,1,1.0,1.0,1.0,1.0,0.0,281.0,155.0
E_llm_agent,anonymous,200.0,5,1.0,1.0,1.0,1.0,0.0,182.4,115.0
E_llm_agent,anonymous,250.0,5,1.0,1.0,1.0,1.0,0.0,218.0,166.6
E_llm_agent,anonymous,300.0,5,1.0,1.0,1.0,1.0,0.0,248.0,155.0
E_llm_agent,anonymous,500.0,5,1.0,1.0,1.0,1.0,0.0,267.6,160.8
E_llm_agent,anonymous,800.0,5,1.0,1.0,1.0,1.0,0.0,496.0,363.8
E_llm_agent,anonymous,1200.0,5,1.0,1.0,1.0,1.0,0.0,699.2,363.8
E_llm_agent,anonymous,2000.0,5,1.0,1.0,1.0,1.0,0.0,791.4,363.8
E_llm_agent,named,200.0,5,1.0,1.0,1.0,1.0,0.0,163.8,72.6
E_llm_agent,named,250.0,5,1.0,1.0,1.0,1.0,0.0,218.0,155.0
E_llm_agent,named,300.0,5,1.0,1.0,1.0,1.0,0.0,248.0,155.0
E_llm_agent,named,500.0,5,1.0,1.0,1.0,1.0,0.0,334.2,155.0
E_llm_agent,named,800.0,5,1.0,1.0,1.0,1.0,0.0,641.2,247.8
E_llm_agent,named,1200.0,5,1.0,1.0,1.0,1.0,0.0,690.2,247.8
E_llm_agent,named,2000.0,5,1.0,1.0,1.0,1.0,0.0,761.2,224.6
