policy,variant,budget_CU,n,P_winner_correct,P_pair_correct,P_reachability_correct,P_full_decision_correct,mean_break_even_rel_error,n_break_even_reported,mean_spent_CU,mean_CU_to_first_correct,n_first_correct,mean_CU_to_stable_correct,n_stable_correct,mean_unnecessary_CU_fraction,mean_regret_USD_t,mean_stopping_efficiency,mean_action_errors,mean_tokens
A_random,anonymous,200.0,20,0.15,0.0,0.0,0.0,,0,191.35,164.33333333333334,3,164.33333333333334,3,0.31969860959268914,602.2549028980458,0.8466188953808841,0.0,
A_random,anonymous,250.0,20,0.15,0.0,0.0,0.0,,0,243.8,164.33333333333334,3,164.33333333333334,3,0.4057194500295583,453.26573641472424,0.6677535014005603,0.0,
A_random,anonymous,300.0,20,0.2,0.05,0.0,0.0,,0,295.3,187.25,4,187.25,4,0.46333261072782694,254.27656993140272,0.6317569110206096,0.0,
A_random,anonymous,500.0,20,0.7,0.35,0.05,0.05,9.887116682761115e-16,4,497.15,342.35714285714283,14,342.35714285714283,14,0.5312366818791585,2.401787280189145,0.6878261436373764,0.0,
A_random,anonymous,800.0,20,0.85,0.65,0.2,0.2,9.887116682761115e-16,8,786.35,465.8235294117647,17,465.8235294117647,17,0.48317473474613537,1.01083351667848,0.5898868460905693,0.0,
A_random,anonymous,1200.0,20,0.95,0.85,0.65,0.65,9.887116682761115e-16,17,1125.65,528.578947368421,19,528.578947368421,19,0.42445628708739935,0.3369445055594934,0.4735384812124576,0.0,
A_random,anonymous,2000.0,20,0.95,0.95,0.85,0.85,9.887116682761115e-16,19,1642.25,528.578947368421,19,528.578947368421,19,0.386040110973091,0.3369445055594934,0.34599547902214434,0.0,
B_activity_first,anonymous,200.0,1,0.0,0.0,0.0,0.0,,0,184.0,,0,,0,0.15760869565217392,6.738890111189868,,0.0,
B_activity_first,anonymous,250.0,1,1.0,1.0,1.0,1.0,9.887116682761115e-16,1,219.0,213.0,1,213.0,1,0.1324200913242009,0.0,0.9726027397260274,0.0,
B_activity_first,anonymous,300.0,1,1.0,1.0,1.0,1.0,9.887116682761115e-16,1,269.0,213.0,1,213.0,1,0.10780669144981413,0.0,0.79182156133829,0.0,
B_activity_first,anonymous,500.0,1,1.0,1.0,1.0,1.0,9.887116682761115e-16,1,369.0,213.0,1,213.0,1,0.2140921409214092,0.0,0.5772357723577236,0.0,
B_activity_first,anonymous,800.0,1,1.0,1.0,1.0,1.0,9.887116682761115e-16,1,369.0,213.0,1,213.0,1,0.2140921409214092,0.0,0.5772357723577236,0.0,
B_activity_first,anonymous,1200.0,1,1.0,1.0,1.0,1.0,9.887116682761115e-16,1,369.0,213.0,1,213.0,1,0.2140921409214092,0.0,0.5772357723577236,0.0,
B_activity_first,anonymous,2000.0,1,1.0,1.0,1.0,1.0,9.887116682761115e-16,1,369.0,213.0,1,213.0,1,0.2140921409214092,0.0,0.5772357723577236,0.0,
C_uncertainty_first,anonymous,200.0,1,1.0,0.0,0.0,0.0,,0,172.0,155.0,1,155.0,1,0.0,0.0,0.9011627906976745,0.0,
C_uncertainty_first,anonymous,250.0,1,1.0,0.0,0.0,0.0,,0,230.0,155.0,1,155.0,1,0.25217391304347825,0.0,0.6739130434782609,0.0,
C_uncertainty_first,anonymous,300.0,1,1.0,1.0,1.0,1.0,9.887116682761115e-16,1,293.0,155.0,1,155.0,1,0.29692832764505117,0.0,0.5290102389078498,0.0,
C_uncertainty_first,anonymous,500.0,1,1.0,1.0,0.0,0.0,9.887116682761115e-16,1,500.0,155.0,1,155.0,1,0.266,0.0,0.31,0.0,
C_uncertainty_first,anonymous,800.0,1,1.0,1.0,1.0,1.0,9.887116682761115e-16,1,798.0,155.0,1,155.0,1,0.3508771929824561,0.0,0.19423558897243107,0.0,
C_uncertainty_first,anonymous,1200.0,1,1.0,1.0,1.0,1.0,9.887116682761115e-16,1,1059.0,155.0,1,155.0,1,0.5108593012275732,0.0,0.14636449480642116,0.0,
C_uncertainty_first,anonymous,2000.0,1,1.0,1.0,1.0,1.0,9.887116682761115e-16,1,1059.0,155.0,1,155.0,1,0.5108593012275732,0.0,0.14636449480642116,0.0,
D_fixed_voi,anonymous,200.0,1,1.0,0.0,0.0,0.0,,0,193.0,155.0,1,155.0,1,0.0,0.0,0.8031088082901554,0.0,
D_fixed_voi,anonymous,250.0,1,1.0,1.0,1.0,1.0,9.887116682761115e-16,1,247.0,155.0,1,155.0,1,0.11740890688259109,0.0,0.6275303643724697,0.0,
D_fixed_voi,anonymous,300.0,1,1.0,1.0,1.0,1.0,9.887116682761115e-16,1,281.0,155.0,1,155.0,1,0.10320284697508897,0.0,0.5516014234875445,0.0,
D_fixed_voi,anonymous,500.0,1,1.0,1.0,1.0,1.0,9.887116682761115e-16,1,281.0,155.0,1,155.0,1,0.10320284697508897,0.0,0.5516014234875445,0.0,
D_fixed_voi,anonymous,800.0,1,1.0,1.0,1.0,1.0,9.887116682761115e-16,1,281.0,155.0,1,155.0,1,0.10320284697508897,0.0,0.5516014234875445,0.0,
D_fixed_voi,anonymous,1200.0,1,1.0,1.0,1.0,1.0,9.887116682761115e-16,1,281.0,155.0,1,155.0,1,0.10320284697508897,0.0,0.5516014234875445,0.0,
D_fixed_voi,anonymous,2000.0,1,1.0,1.0,1.0,1.0,9.887116682761115e-16,1,281.0,155.0,1,155.0,1,0.10320284697508897,0.0,0.5516014234875445,0.0,
E_llm_agent,anonymous,200.0,5,1.0,1.0,1.0,1.0,0.1874053215710049,5,182.4,115.0,5,115.0,5,0.017604617604617605,0.0,0.6147323575895005,0.0,95871.4
E_llm_agent,anonymous,250.0,5,1.0,1.0,1.0,1.0,9.887116682761115e-16,5,218.0,166.6,5,166.6,5,0.13302752293577982,0.0,0.7642201834862385,0.0,65011.2
E_llm_agent,anonymous,300.0,5,1.0,1.0,1.0,1.0,9.887116682761115e-16,5,248.0,155.0,5,155.0,5,0.11813638230864028,0.0,0.631418595097905,0.0,64412.8
E_llm_agent,anonymous,500.0,5,1.0,1.0,1.0,1.0,9.887116682761115e-16,5,267.6,160.8,5,160.8,5,0.11234158579938329,0.0,0.6270519114459286,0.0,60521.6
E_llm_agent,anonymous,800.0,5,1.0,1.0,1.0,1.0,9.887116682761115e-16,5,496.0,363.8,5,363.8,5,0.39266732512782937,0.0,0.7174047096413249,0.0,57310.0
E_llm_agent,anonymous,1200.0,5,1.0,1.0,1.0,1.0,9.887116682761115e-16,5,699.2,363.8,5,363.8,5,0.28548587512379975,0.0,0.5509874959428716,0.0,67690.6
E_llm_agent,anonymous,2000.0,5,1.0,1.0,1.0,1.0,9.887116682761115e-16,5,791.4,363.8,5,363.8,5,0.28976857771289605,0.0,0.5602078798646941,0.0,75437.8
