trace,variant,budget_CU,run,n_steps,spent_CU,env_winner,llm_stated_winner,llm_env_winner_agree,why_stop,infra_retries,malformed_turns,action_errors,frac_noncompetitive,CU_at_first_visible_mismatch,CU_at_first_backward,CU_at_first_reachability,canonical_order
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B1200_r0_20260905T181846Z\trace.json,anonymous,1200.0,0,28,714.0,Fe,Fe,True,"agent STOP: S1 satisfied: candidate_13 is a feasible optimized lowest-cost candidate in the full admissible window. S2 satisfied: every candidate was optimized, with 3 feasible and 12 infeasible under the 90 m3 bed cap. S3 satisfied: the highest-atomic-activity candidate candidate_04 differs from the industrial",0,0,0,0.48739495798319327,503.0,562.0,566.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B1200_r1_20260905T182018Z\trace.json,anonymous,1200.0,1,29,1057.0,Fe,Fe,True,"agent STOP: Stopping rule satisfied: S1 feasible optimized winner exists; S2 all 15 candidates were optimized so none remain unresolved; S3 highest-activity candidate differs from winner and BACKWARD plus TEST_REACHABILITY were executed, classifying the required activity improvement as unreachable. Additional a",0,1,0,0.32923368022705773,503.0,562.0,566.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B1200_r2_20260905T182149Z\trace.json,anonymous,1200.0,2,18,367.0,Fe,Fe,True,agent STOP: Stopping rule satisfied: S1 feasible current lowest-cost candidate exists; S2 no unresolved candidate remains because all candidates are either optimized or screened by the declared dominance rule; S3 highest-activity candidate differs from industrial choice and BACKWARD plus TEST_REACHABILITY were ,0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B1200_r3_20260905T182331Z\trace.json,anonymous,1200.0,3,15,218.0,Fe,Fe,True,agent STOP: Stopping rule satisfied: S1 feasible current lowest-cost candidate exists (candidate_13); S2 no unresolved candidates remain because candidate_04 and candidate_05 were optimized and all other candidates are screened by lower reference activity plus higher metal price relative to candidate_13; S3 hig,0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B1200_r4_20260905T182439Z\trace.json,anonymous,1200.0,4,30,1140.0,Fe,Fe,True,"agent STOP: Stopped because the stopping rule permits it: all candidates were optimized in the full admissible window, candidate_13 is the nominal lowest-cost feasible candidate, and the higher-activity candidate_04 was assessed for activity-only cost parity and classified unreachable on the frozen descriptor m",0,1,0,0.30526315789473685,503.0,562.0,566.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B2000_r0_20260905T182629Z\trace.json,anonymous,2000.0,0,17,268.0,Fe,Fe,True,"agent STOP: S1, S2, and S3 are satisfied. candidate_13 is feasible and lowest cost; all other candidates are optimized or screened by the declared rule; highest-activity candidate_04 has completed BACKWARD and TEST_REACHABILITY and is classified unreachable for activity-only parity. Further exact dominance chec",0,1,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B2000_r1_20260905T182757Z\trace.json,anonymous,2000.0,1,33,1798.0,Fe,Fe,True,"agent STOP: Stopped because all formal stopping conditions are met: a feasible nominal winner exists, all candidates were optimized, the highest-activity nonwinner was subjected to BACKWARD parity and TEST_REACHABILITY, and the remaining affordable actions have low expected value for changing the nominal indust",0,1,0,0.1935483870967742,503.0,562.0,566.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B2000_r2_20260905T182955Z\trace.json,anonymous,2000.0,2,28,566.0,Fe,Fe,True,"agent STOP: Stopping rule satisfied: S1 feasible optimized lowest-cost candidate exists; S2 no unresolved candidates because all 15 candidates were optimized; S3 highest-activity candidate candidate_04 differs from candidate_13, and BACKWARD plus TEST_REACHABILITY were executed with classification unreachable. ",0,1,0,0.6148409893992933,503.0,562.0,566.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B2000_r3_20260905T183119Z\trace.json,anonymous,2000.0,3,16,268.0,Fe,Fe,True,"agent STOP: S1, S2 and S3 satisfied; remaining calculations have low expected decision value for the nominal industrial decision.",0,0,0,0.0,155.0,214.0,218.0,True
DISCOVER_FORMAL_RUNS_V1\traces\anonymous\E_llm_agent_anonymous_B2000_r4_20260905T183243Z\trace.json,anonymous,2000.0,4,28,1057.0,Fe,Fe,True,agent STOP: Stopping rule satisfied: S1 candidate_13 is a feasible optimized lowest-cost candidate; S2 no unresolved candidates remain because every candidate was optimized over the full process window; S3 highest-activity candidate candidate_04 differs from the industrial choice and BACKWARD plus TEST_REACHABI,0,0,0,0.32923368022705773,503.0,562.0,566.0,True
