E_N_eV,gain_673K,Ru_min_feasible_cost
-2.2,2.724044960752023e-12,
-2.195,3.1237213235343413e-12,
-2.19,3.582033392752897e-12,
-2.185,4.107582517726163e-12,
-2.18,4.7102316166188715e-12,
-2.175,5.401290180817591e-12,
-2.17,6.193726403904578e-12,
-2.165,7.102410411123482e-12,
-2.16,8.14439314782921e-12,
-2.155,9.339226153352092e-12,
-2.15,1.0709328212476196e-11,
-2.145,1.22804057546564e-11,
-2.14,1.4081934877587863e-11,
-2.135,1.614771402563438e-11,
-2.13,1.8516497676462503e-11,
-2.125,2.1232722905776208e-11,
-2.12,2.4347342438609388e-11,
-2.115,2.791877978874025e-11,
-2.11,3.20140243726456e-11,
-2.105,3.6709887103714414e-11,
-2.1,4.2094439975128157e-11,
-2.095,4.826866658190331e-11,
-2.09,5.5348354478446586e-11,
-2.085,6.346626479114532e-11,
-2.08,7.277461969052157e-11,
-2.075,8.344795427098442e-11,
-2.07,9.568638619921017e-11,
-2.065,1.0971936430161972e-10,
-2.06,1.2580996621308356e-10,
-2.055,1.4425982546962416e-10,
-2.05,1.6541478018885187e-10,
-2.045,1.8967134896236494e-10,
-2.04,2.1748415503538113e-10,
-2.035,2.4937443755842527e-10,
-2.03,2.859398089935866e-10,
-2.025,3.278654410216194e-10,
-2.02,3.759368879591374e-10,
-2.015,4.310547872528607e-10,
-2.01,4.942517116394346e-10,
-2.005,5.667114876955338e-10,
-2.0,6.49791341499589e-10,
-1.995,7.450472848389682e-10,
-1.99,8.542632158033429e-10,
-1.985,9.794842768280703e-10,
-1.98,1.1230551150801624e-09,
-1.975,1.2876636675672675e-09,
-1.97,1.4763914234773643e-09,
-1.965,1.6927710253125474e-09,
-1.96,1.940852271038085e-09,
-1.955,2.2252777756062743e-09,
-1.95,2.5513696935164235e-09,
-1.945,2.9252291178850436e-09,
-1.94,3.3538500071600853e-09,
-1.935,3.845249760594825e-09,
-1.93,4.408618872897559e-09,
-1.925,5.054492452800554e-09,
-1.92,5.7949467961909875e-09,
-1.915,6.6438246694115775e-09,
-1.91,7.616993490935216e-09,
-1.905,8.732641209679692e-09,
-1.9,1.001161537697593e-08,
-1.895,1.1477811709517548e-08,
-1.89,1.3158619357219868e-08,
-1.885,1.508543113965097e-08,
-1.88,1.7294228216876945e-08,
-1.875,1.982625003723662e-08,
-1.87,2.272876198102536e-08,
-1.865,2.6055934924198404e-08,
-1.86,2.986985301312303e-08,
-1.855,3.424166830792334e-08,
-1.85,3.925292366141501e-08,
-1.845,4.499706830255415e-08,
-1.84,5.158119414437417e-08,
-1.835,5.9128024901467466e-08,
-1.83,6.777819475524127e-08,
-1.825,7.769285863141879e-08,
-1.82,8.905668225042356e-08,
-1.815,1.0208126708851766e-07,
-1.81,1.170090733726905e-07,
-1.805,1.3411791337045525e-07,
-1.8,1.5372609769301545e-07,
-1.795,1.7619832929642503e-07,
-1.79,2.0195245357301814e-07,
-1.785,2.3146718848414215e-07,
-1.78,2.6529097693305535e-07,
-1.775,3.040521235473785e-07,
-1.77,3.4847040203967357e-07,
-1.765,3.993703458354e-07,
-1.76,4.576964654743248e-07,
-1.755,5.245306713950658e-07,
-1.75,6.011122209274344e-07,
-1.745,6.888605542602889e-07,
-1.74,7.894014367735945e-07,
-1.735,9.045968852915275e-07,
-1.73,1.0365794246633103e-06,
-1.725,1.1877912998562018e-06,
-1.72,1.3610293588922128e-06,
-1.715,1.5594964251281276e-06,
-1.71,1.7868600954687313e-06,
-1.705,2.047320036294919e-06,
-1.7,2.3456850036967843e-06,
-1.695,2.6874609919171746e-06,
-1.69,3.0789521170726097e-06,
-1.685,3.5273760760780117e-06,
-1.68,4.040996287722778e-06,
-1.675,4.629273129187947e-06,
-1.67,5.303037032969832e-06,
-1.665,6.074686613155046e-06,
-1.66,6.958415454432363e-06,
-1.655,7.970471731654847e-06,
-1.65,9.129455443351852e-06,
-1.645,1.045665875250069e-05,
-1.64,1.1976455747618958e-05,
-1.635,1.3716748885233005e-05,
-1.63,1.5709480472902185e-05,
-1.625,1.79912188263408e-05,
-1.62,2.0603830216128347e-05,
-1.615,2.359524944671086e-05,
-1.61,2.702036392850106e-05,
-1.605,3.094202846825072e-05,
-1.6,3.543223078106917e-05,
-1.595,4.0573431002299706e-05,
-1.59,4.646010235086105e-05,
-1.585,5.320050469360563e-05,
-1.58,6.091872823907055e-05,
-1.575,6.975705114417959e-05,
-1.57,7.98786626915938e-05,
-1.565,9.147081319818063e-05,2347.289391192421
-1.56,0.00010474846332888995,2071.542068074885
-1.555,0.00011995851950920057,1827.6031147497263
-1.55,0.00013738475927135846,1611.8478333358605
-1.545,0.00015735357142842855,1420.9169750569922
-1.54,0.0001802406619573771,1252.0178661566085
-1.535,0.00020647890868282463,1102.5239571058544
-1.53,0.00023656758795462794,970.2772510006414
-1.525,0.00027108324664668325,853.2414647562549
-1.52,0.0003106925557401081,749.7264457754483
-1.515,0.0003561675610673159,658.1676848453734
-1.51,0.00040840384711421916,577.2295117256494
-1.505,0.00046844225710465236,505.7212402811677
-1.5,0.0005374949746967904,442.5749531660691
-1.495,0.0006169769795747388,386.89614412920724
-1.49,0.0007085441540347111,337.8177488505813
-1.485,0.0008141396571276746,294.6667412888692
-1.48,0.0009360506185449804,256.76223321741037
-1.475,0.0010769777636106027,223.56102348764534
-1.47,0.001240121297930942,194.55035148706375
-1.465,0.0014292872980755872,169.26562400239965
-1.46,0.0016490200245511892,147.3270577334725
-1.455,0.0019047670549622539,128.32939772702179
-1.45,0.0022030859936752636,111.9953877283212
-1.445,0.0025519038126014565,98.01716557461694
-1.44,0.0029608426622463983,86.11313377229155
-1.435,0.003441629265719307,76.02550820184445
-1.43,0.004008608685462504,67.5187569312013
-1.425,0.004679387090467486,60.37868873385576
-1.42,0.0054756316544321915,54.41190958782216
-1.415,0.006424058013170052,49.44537548292408
-1.41,0.007557635441418117,45.32582695297111
-1.405,0.00891703516049816,41.91897562703016
-1.4,0.010552335582659517,39.10840114018472
-1.395,0.012524977362004662,36.79418788952644
-1.39,0.014909929006579052,34.89137531002118
-1.385,0.017797980288582763,33.36997447882972
-1.38,0.021298028100847386,32.09660779781206
-1.375,0.025539162880898837,30.809682334108473
-1.37,0.03067231025435739,29.753612166155033
-1.365,0.03687113905111846,28.883129599875595
-1.36,0.04433191840217443,28.111324856362312
-1.355,0.05327199649154259,27.409125909546066
-1.35,0.06392658540287167,26.771385849346075
-1.345,0.07654357738502246,26.19362225154652
-1.34,0.09137619892489378,25.671442338226218
-1.335,0.10867344251538143,25.201038618834115
-1.33,0.12866840910927604,24.778499790033962
-1.325,0.1515649422956598,24.39979207385317
-1.32,0.1775232172339776,24.0611371483979
-1.315,0.20664522560913653,23.75907372177017
-1.31,0.23896132228829778,23.406812539817647
-1.305,0.27441911656625106,23.08183398274822
-1.3,0.3128759562489904,22.805527812423684
-1.295,0.35409604315393184,22.570266971949586
-1.29,0.3977528418031295,22.36974584282539
-1.285,0.4434369412556298,22.198743545988286
-1.28,0.49066897393425307,22.052930307746873
-1.275,0.5389166707373856,21.92870924746048
-1.27,0.5876147210723168,21.823087194058157
-1.265,0.6361858706638527,21.73356922877697
-1.26,0.6840616562002902,21.658072584001992
-1.255,0.7307013337989577,21.594856314279596
-1.25,0.775607865865525,21.542463811298084
-1.245,0.8183402266598916,21.499675777070415
-1.24,0.8585217045387791,21.46547171549882
-1.235,0.8958442606190874,21.438998367374843
-1.23,0.9300693087448383,21.419543811344926
-1.225,0.961025489610072,21.406516195258313
-1.22,0.9886041207630867,21.399426258626672
-1.215,1.0127530260058362,21.397872966049547
-1.21,1.0334694025185853,21.40153170034269
-1.205,1.0507922946680943,21.410144568469473
-1.2,1.06479513123478,21.42351245789436
-1.195,1.0755786651373425,21.44148854946051
-1.19,1.0832645441295294,21.46397304843645
-1.185,1.0879896450633066,21.49090894048539
-1.18,1.0899012267527077,21.522278616002396
-1.175,1.08915289780476,21.558101236187703
-1.17,1.0859013545842842,21.59843073868678
-1.165,1.0803038182226403,21.643354400699106
-1.16,1.0725160853224152,21.692991893996922
-1.155,1.0626911018219374,21.74749477999499
-1.15,1.0509779707557638,21.807046404432327
-1.145,1.037521310187481,21.871862160821244
-1.14,1.0224608856731405,21.942190099956388
-1.135,1.0059314509473496,22.00968533808427
-1.13,0.9880627401901263,22.071873334741923
-1.125,0.9689795646181727,22.1380664104276
-1.12,0.9488019748721461,22.208269837352148
-1.115,0.927645458536058,22.283950035860432
-1.11,0.9056211490416028,22.36545992437226
-1.105,0.8828360281772365,22.45318764693595
-1.1,0.8593931094840187,22.547559006225427
-1.095,0.8353915940534787,22.64057400962683
-1.09,0.8109269937307613,22.72877268007196
-1.085,0.7860912195606279,22.820865218398165
-1.08,0.7609726355750435,22.907379349125694
-1.075,0.7356560797905983,22.981899423556463
-1.07,0.7102228556260601,23.061972732508806
-1.065,0.6847506979281232,23.147980251756966
-1.06,0.6593137184572078,23.24033878144933
-1.055,0.6339823360798461,23.339503745956755
-1.05,0.6088231970795768,23.433455321278377
-1.045,0.5838990909675507,23.5129470999176
-1.04,0.5592688669795194,23.598426734222613
-1.035,0.5349873561138625,23.69035775635282
-1.03,0.5111053031234806,23.789246113688623
-1.025,0.487669312345597,23.89564393928695
-1.02,0.46472181066161167,24.01015370434759
-1.015,0.44230103024516515,24.13343278839681
-1.01,0.42044101310159815,24.26619850678462
-1.005,0.399171638743538,24.394233372511184
-1.0,0.3785186757041688,24.508394404478036
-0.995,0.3585038569758682,24.629331715334843
-0.99,0.3391449788913504,24.756180966948946
-0.985,0.320456022447991,24.893283954129608
-0.98,0.3024472956221032,25.04153567054048
-0.975,0.28512559483537275,25.201915448403216
-0.97,0.2684943834234418,25.367450668055106
-0.965,0.2525539847190248,25.516415830612655
-0.96,0.2373017871977871,25.67386978667134
-0.955,0.2227324590419186,25.839664094812996
-0.95,0.2088381694497274,26.012392531080547
-0.945,0.1956088140538248,26.200066997775558
-0.94,0.18303224189849854,26.37940438643054
-0.935,0.17109448156164916,26.549213614501575
-0.93,0.15977996417946494,26.73201164365846
-0.925,0.14907174133518752,26.922656598242632
-0.92,0.13895169599865212,27.126532081120963
-0.915,0.12940074494280582,27.342726447563717
-0.91,0.12039903131041231,27.570801565678714
-0.905,0.11192610625168467,27.8116720445275
-0.9,0.10396109879637948,28.067023268360796
-0.895,0.09648287335668136,28.33767001974157
-0.89,0.08947017447647782,28.62463796184875
-0.885,0.08290175864490795,28.916482718666693
-0.88,0.07675651317546177,29.220872547471227
-0.875,0.07101356231463991,29.54506537802682
-0.87,0.06565236088575128,29.890618487773054
-0.865,0.06065277589360618,30.258502352845614
-0.86,0.055995156614945085,30.65044144202595
-0.855,0.05166039377854514,31.069719934853357
-0.85,0.047629968498886725,31.527680255907125
-0.845,0.043885991669866446,32.033109375359906
-0.84,0.0404112345515657,32.59110330076227
-0.835,0.03718915129560332,33.207318529629674
-0.83,0.034203894154585274,33.88803481213527
-0.825,0.031440322110612554,34.64022504518088
-0.82,0.028884003638310788,35.39549987268056
-0.815,0.026521214291076484,36.140121562698674
-0.81,0.024338929766726056,36.94427836307868
-0.805,0.02232481507186544,37.81642024093644
-0.8,0.020467210364340925,38.76295063812476
-0.795,0.018755114011184702,39.79143244451096
-0.79,0.01717816335654266,40.91121037187582
-0.785,0.015726613650923767,42.13304340999457
