metal,P_bar,cost,T_C,Tsep_C,V_m3,metal_cost,reactor,fresh_comp,recycle_comp,refrig,logTOF
Fe,35.0,88.24637489429495,450.0,-40.0,87.88380639945876,0.3624842679524324,0.2373397184346132,0.8310416118494507,75.55235465822973,11.263154637828702,-5.570280754903245
Fe,40.0,27.52849239659775,425.0,-40.0,78.13399067125331,0.3222703199943086,0.22471881916449143,1.5509226002663583,14.167426019343887,11.263154637828702,-5.519211902545887
Fe,45.0,23.18968227198776,425.0,-40.0,56.0963398230624,0.2313741462579491,0.19303863784476932,2.1859026335045497,9.31621221655179,11.263154637828702,-5.375306421514573
Fe,50.0,21.116133890634575,425.0,-40.0,43.869568283364835,0.1809437824336507,0.17282022885902085,2.75391162870125,6.745303612811952,11.263154637828702,-5.268535256774697
Fe,55.0,19.613662501645372,425.0,-35.0,41.31924660884885,0.17042476279733415,0.16827403474188976,3.2677382659824237,5.768162857659162,10.239062580464564,-5.242524290449595
Fe,60.0,18.477431005284217,425.0,-30.0,40.57264401643829,0.16734533661805345,0.1669178192941568,3.736825233770909,5.149254385021166,9.257088230579932,-5.234605206701081
Fe,65.0,17.458040611708377,425.0,-25.0,39.96323587305867,0.16483178066517234,0.16580191530054994,4.168343413751375,4.644377815940972,8.314685686050309,-5.228032542546886
Fe,70.0,16.589737313482473,425.0,-20.0,40.107915638973246,0.16542852472057545,0.1660675776442504,4.56786684562036,4.280864182912816,7.4095101825844685,-5.229601988999802
Fe,75.0,15.848446272762006,425.0,-15.0,41.053485359156355,0.169328607817348,0.16779263408674971,4.9398142622058,4.03211215370292,6.539398614949186,-5.239721929960604
Fe,80.0,15.209495078882712,400.0,-20.0,86.67621017370853,0.35750343414690106,0.23581432713069359,5.287747834037267,1.9189193009833825,7.4095101825844685,-5.564271810195872
Fe,85.0,14.526120907309545,400.0,-15.0,86.1630834789564,0.3553869992548044,0.23516307790440763,5.614581186238835,1.78159102896231,6.539398614949186,-5.561693128669739
Fe,90.0,13.893857237968614,400.0,-10.0,86.74798048445159,0.3577994569253429,0.23590526876209772,5.922727867275459,1.6750723661647249,5.702352278840991,-5.564631269295336
Fe,95.0,13.308914320657092,400.0,-5.0,88.50220126005742,0.3650348903882743,0.23811695687383796,6.214209622419333,1.5950313074183824,4.896521543557266,-5.573325968971198
Fe,100.0,13.308763167679192,400.0,-5.0,77.6831296766707,0.3204107053023055,0.22411739847831155,6.490736862472159,1.3769766578691502,4.896521543557266,-5.516698610192889
Fe,105.0,12.759509004418064,400.0,0.0,80.0957420604008,0.33036173120341805,0.22731649011632896,6.753769479124909,1.3278690959091384,4.120192208064269,-5.529981325535617
Fe,110.0,12.25018238231891,400.0,5.0,83.73367881394648,0.3453667121548846,0.23205413979425824,7.004563499753333,1.2964247019785424,3.371773328637891,-5.549272068427884
Fe,115.0,11.78192796497353,400.0,10.0,88.86819762579248,0.3665444736680848,0.2385757369967731,7.244207362873569,1.2828140552581537,2.64978633617695,-5.575118268347309
Fe,120.0,11.787886472966418,400.0,10.0,78.0371557274472,0.32187091599537127,0.22458978809664196,7.473650467541818,1.1179889651556374,2.64978633617695,-5.51867332819192
Fe,125.0,11.34138604557279,400.0,15.0,83.65474884324914,0.3450411587472672,0.23195241090638913,7.693725890907051,1.1178112984725115,1.9528552865395714,-5.548862495869601
