draw,E_N_Fe,E_N_Ru,E_N_Os,n_feasible,atomic_winner,raw_cost_winner,economic_winner,Fe_feasible,rho_raw,rho_censored,top1,top3_actionable
0,-1.1006272909229102,-1.2420211432128125,-1.019234744731005,3,Fe,Fe,Fe,1,0.9214285714285713,0.6994896098482908,1.0,1.0
1,-1.55938863243673,-1.0864236110094554,-1.0008609244252897,3,Ru,Ru,Ru,1,0.9428571428571427,0.6994896098482908,1.0,1.0
2,-1.3833275863364873,-1.1192132279216078,-1.212047958494531,3,Os,Fe,Fe,1,0.9392857142857142,0.679066555546151,0.0,1.0
3,-1.2759684884696987,-1.283000105301599,-1.1969074501738464,3,Os,Fe,Fe,1,0.9571428571428571,0.684172319121686,0.0,1.0
4,-1.1018170206198092,-1.0931422736289593,-1.0234263971879707,4,Fe,Fe,Fe,1,0.9571428571428571,0.7791937224739796,1.0,1.0
5,-1.2222443813613144,-1.1635336951213848,-0.9860854295903503,5,Ru,Fe,Fe,1,0.9714285714285713,0.8356029971804347,0.0,1.0
6,-1.5147864237339363,-1.121234111865784,-0.9754441182275893,3,Ru,Fe,Fe,1,0.9107142857142855,0.684172319121686,0.0,1.0
7,-1.179673318241421,-1.1963524890339514,-1.2228565926419062,3,Fe,Fe,Fe,1,0.9678571428571429,0.6994896098482908,1.0,1.0
8,-1.457631313104605,-1.2221101155652379,-1.1666586304796112,3,Os,Fe,Fe,1,0.9607142857142855,0.679066555546151,0.0,1.0
9,-1.27525817647042,-1.1255735929570563,-1.1041664891638066,3,Ru,Fe,Fe,1,0.9464285714285712,0.684172319121686,0.0,1.0
10,-1.5530976892172736,-1.052426496038049,-1.0383500323449302,3,Ru,Ru,Ru,1,0.9214285714285713,0.6994896098482908,1.0,1.0
11,-1.2160174801514612,-1.2242487835393767,-1.2309709024136573,3,Fe,Fe,Fe,1,0.9035714285714285,0.6994896098482908,1.0,1.0
12,-1.2326667036000765,-1.0215943243185477,-1.1534290410287178,3,Os,Fe,Fe,1,0.9357142857142854,0.684172319121686,0.0,1.0
13,-1.396586977202716,-1.15021725410991,-1.0704234158205428,3,Ru,Fe,Fe,1,0.914285714285714,0.684172319121686,0.0,1.0
14,-1.6360443043376178,-1.2636286925548446,-1.0261031095138409,2,Ru,Ru,Ru,0,0.9678571428571429,0.5916079783099615,1.0,0.6666666666666666
15,-1.569801499994882,-1.1599424225416581,-1.1043058248097817,3,Ru,Ru,Ru,1,0.9642857142857141,0.6663021466073136,1.0,0.6666666666666666
16,-1.2364291199437412,-1.0982597021162004,-1.1756706940176502,3,Os,Fe,Fe,1,0.8892857142857141,0.684172319121686,0.0,1.0
17,-1.067464145795991,-1.0488110692072445,-1.2576312635521665,3,Os,Fe,Fe,1,0.932142857142857,0.684172319121686,0.0,1.0
18,-1.562063823577824,-1.2654051816408054,-1.0593355859591864,5,Os,Ru,Ru,1,0.9607142857142855,0.8185932669579323,0.0,0.6666666666666666
19,-1.8974327801710027,-1.158138405511871,-1.1246760675585432,2,Ru,Ru,Ru,0,0.907142857142857,0.5916079783099615,1.0,0.6666666666666666
20,-1.1941020301065404,-1.033355165960586,-1.1643523695030165,3,Os,Fe,Fe,1,0.932142857142857,0.684172319121686,0.0,1.0
21,-1.2958174717581374,-1.1616896130051393,-1.0647191849783935,3,Ru,Fe,Fe,1,0.932142857142857,0.684172319121686,0.0,1.0
22,-1.426680665341384,-0.9873629231232683,-1.142672556647131,4,Os,Fe,Fe,1,0.9607142857142855,0.7608597525334153,0.0,1.0
23,-1.2544654830861135,-1.0350729650139592,-1.1255443047233649,3,Os,Fe,Fe,1,0.9392857142857142,0.684172319121686,0.0,1.0
