K,rho_raw,tau_raw,rho_censored,tau_censored,n_feasible
3,-0.5,-0.33333333333333337,-0.5,-0.33333333333333337,3
4,0.39999999999999997,0.3333333333333334,0.39999999999999997,0.3333333333333334,3
5,0.7,0.6,0.6668859288553501,0.5270462766947298,3
6,0.6571428571428573,0.4666666666666666,0.7589709258986453,0.5962847939999439,3
7,0.7857142857142859,0.6190476190476191,0.7881104062391007,0.6197797868009122,3
8,0.6666666666666669,0.4999999999999999,0.7910398521054723,0.6236095644623235,3
9,0.6666666666666667,0.5,0.7822165589515727,0.6182840223353118,3
10,0.7575757575757575,0.6,0.7680367542868648,0.6085806194501846,3
11,0.8181818181818182,0.6727272727272727,0.7515580963521804,0.5968491905238342,3
12,0.8601398601398602,0.7272727272727272,0.7343158832057565,0.584306547468143,3
13,0.8901098901098902,0.769230769230769,0.7171005886087412,0.5716019827894464,3
14,0.9120879120879121,0.8021978021978022,0.70031890928483,0.5590852462516898,3
15,0.9285714285714284,0.8285714285714286,0.684172319121686,0.5469417694282447,3
